ID,Setup,Punchline,Category,Status
1,"Why was six afraid of seven?","Because seven eight nine.","Math & School Jokes","draft"
2,"Why was the equal sign so humble?","Because it knew it was not less than or greater than anyone else.","Math & School Jokes","draft"
3,"What did the zero say to the eight?","Nice belt.","Math & School Jokes","draft"
4,"What did the triangle say to the circle?","You are pointless.","Math & School Jokes","draft"
5,"Why did the obtuse angle go to the beach?","Because it was over 90 degrees.","Math & School Jokes","draft"
6,"What is a math teacher favorite tree?","Geome-tree.","Math & School Jokes","draft"
7,"Why did the teacher wear sunglasses to class?","Because her students were so bright.","Math & School Jokes","draft"
8,"Why was the library so tall?","Because it had so many stories.","Math & School Jokes","draft"
9,"Why did the student do multiplication problems on the floor?","The teacher told him not to use tables.","Math & School Jokes","draft"
10,"Why did the student throw his clock out the window?","He wanted to see time fly.","Math & School Jokes","draft"
11,"What is a math teacher favorite season?","Sum-mer.","Math & School Jokes","draft"
12,"What is a math teacher favorite dessert?","Pi.","Math & School Jokes","draft"
13,"Why did the student bring string to math class?","To tie up loose ends... and to draw straight lines.","Math & School Jokes","draft"
14,"Why was the geometry book so friendly?","It had a lot of angles to work with... it was acute one.","Math & School Jokes","draft"
15,"What did the acute angle say to the obtuse angle?","You are looking pretty big today.","Math & School Jokes","draft"
16,"Why was the fraction so nervous?","It was worried about being improper.","Math & School Jokes","draft"
17,"Why did the decimal break up with the fraction?","It could not handle the long division.","Math & School Jokes","draft"
18,"What did the acorn say when it grew up?","Geometry.","Math & School Jokes","draft"
19,"Why did the teacher write on the window?","She wanted the lesson to be very clear.","Math & School Jokes","draft"
20,"Why was the calculator so confident?","It could always count on itself.","Math & School Jokes","draft"
21,"Why was the pencil so sharp?","It paid close attention in class.","Math & School Jokes","draft"
22,"What did the pencil say to the eraser?","You always rub me the right way.","Math & School Jokes","draft"
23,"What did the glue say at the school dance?","I am stuck on you.","Math & School Jokes","draft"
24,"Why was the backpack always tired?","It carried everyone else's books.","Math & School Jokes","draft"
25,"What did the school bell say at the end of the day?","Time is up.","Math & School Jokes","draft"
26,"Why was the ruler so fair?","It always measured up.","Math & School Jokes","draft"
27,"What did one sheet of paper say to the other?","I feel torn.","Math & School Jokes","draft"
28,"Why was the crayon box so popular?","It had every color of friend.","Math & School Jokes","draft"
29,"Why was the marker so confident?","Because it was a bold marker.","Math & School Jokes","draft"
30,"Why was the school clock so patient?","It knew time would pass.","Math & School Jokes","draft"
31,"Why was the report card so nervous?","It was afraid of being graded.","Math & School Jokes","draft"
32,"Why was the graduation cap so proud?","It was at the top of its class.","Math & School Jokes","draft"
33,"Why was the school bus so patient?","It picked everyone up, one stop at a time.","Math & School Jokes","draft"
34,"Why was the principal so calm?","He had a lot of principal... principles.","Math & School Jokes","draft"
35,"Why do plants hate math?","It gives them square roots.","Math & School Jokes","draft"
36,"What do you call friends who love math together?","Alge-bros.","Math & School Jokes","draft"
37,"What is the best tool for doing math?","Multi-pliers.","Math & School Jokes","draft"
38,"What is an owl favorite type of math?","Owl-gebra.","Math & School Jokes","draft"
39,"How do you make seven an even number?","Take away the S.","Math & School Jokes","draft"
40,"What are the three kinds of mathematicians?","Those who can count and those who cannot.","Math & School Jokes","draft"
41,"Why do mathematicians love national parks?","Because of all the natural logs.","Math & School Jokes","draft"
42,"Why did the kid study math on the airplane?","He wanted a higher education.","Math & School Jokes","draft"
43,"What is the king of the school supplies?","The ruler.","Math & School Jokes","draft"
44,"What do librarians take fishing?","Bookworms.","Math & School Jokes","draft"
45,"Why did the remainder feel sad?","It was always left over.","Math & School Jokes","draft"
46,"What do you call two numbers that are always together?","Prime mates.","Math & School Jokes","draft"
47,"What did the teacher say when the student asked if math gets easier?","It gets different, and one day different feels easy.","Math & School Jokes","draft"
48,"Why was pi day the math class favorite holiday?","Everyone got to eat the lesson.","Math & School Jokes","draft"
49,"What did the student say when the word problem started with forty two watermelons?","Who is buying all these watermelons?","Math & School Jokes","draft"
50,"Why did the kid show his work in pen?","Pencils are for people who make mistakes, and this was his moment.","Math & School Jokes","draft"
51,"What did the student say when the teacher asked who forgot their homework?","Nobody raised a hand, but everybody raised their eyebrows.","Math & School Jokes","draft"
52,"What did the student say when the teacher pushed back the test?","Best news since long division took a day off.","Math & School Jokes","draft"
53,"What did the math student say during vocabulary practice?","All these words and not a single number.","Math & School Jokes","draft"
54,"What did the student say when the trip permission slip came home?","This is the only homework I will sign myself.","Math & School Jokes","draft"
