# Category: Kids & Family

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"1","I am not saying my name yet: I melt in the sunshine, and You lick me before I drip. What am I?","a milkshake","an ice cream cone","a popsicle","a cupcake","B. an ice cream cone","medium","Easy Kids Riddles","Sweet, cold, on a crunchy holder.","Ice cream in a cone melts fast on hot days.","published"
"2","Riddle me this: i melt in the sunshine — and you lick me before I drip. What am I?","an ice cream cone","a popsicle","a cupcake","a milkshake","A. an ice cream cone","medium","Easy Kids Riddles","Sweet, cold, on a crunchy holder.","Ice cream in a cone melts fast on hot days.","published"
"3","Two clues and one name: I melt in the sunshine. Also: You lick me before I drip. Can you name me?","a milkshake","an ice cream cone","a cupcake","a popsicle","B. an ice cream cone","medium","Easy Kids Riddles","Sweet, cold, on a crunchy holder.","Ice cream in a cone melts fast on hot days.","published"
"4","Guess who: i melt in the sunshine, and you lick me before I drip. Who or what am I?","a cupcake","an ice cream cone","a popsicle","a milkshake","B. an ice cream cone","hard","Easy Kids Riddles","Sweet, cold, on a crunchy holder.","Ice cream in a cone melts fast on hot days.","published"
"5","I am not saying my name yet: I am born when rain collects, and You love to splash in me. What am I?","a pool","a puddle","a pond","a glass of water","B. a puddle","easy","Easy Kids Riddles","Rainwater's favorite resting spot.","Puddles form from rain and are perfect for splashing.","published"
"6","Riddle me this: i am born when rain collects — and you love to splash in me. What am I?","a glass of water","a puddle","a pool","a pond","B. a puddle","medium","Easy Kids Riddles","Rainwater's favorite resting spot.","Puddles form from rain and are perfect for splashing.","published"
"7","Two clues and one name: I am born when rain collects. Also: You love to splash in me. Can you name me?","a pool","a puddle","a glass of water","a pond","B. a puddle","easy","Easy Kids Riddles","Rainwater's favorite resting spot.","Puddles form from rain and are perfect for splashing.","published"
"8","Guess who: i am born when rain collects, and you love to splash in me. Who or what am I?","a pool","a puddle","a glass of water","a pond","B. a puddle","easy","Easy Kids Riddles","Rainwater's favorite resting spot.","Puddles form from rain and are perfect for splashing.","published"
"9","I am not saying my name yet: My grades tell your term's story, and Parents sign my envelope. What am I?","a report card","a letter","a diary","a test","A. a report card","easy","School Riddles","Good marks live here.","Report cards summarize each term's grades.","published"
"10","Riddle me this: my grades tell your term's story — and parents sign my envelope. What am I?","a report card","a letter","a test","a diary","A. a report card","easy","School Riddles","Good marks live here.","Report cards summarize each term's grades.","published"
"11","Two clues and one name: My grades tell your term's story. Also: Parents sign my envelope. Can you name me?","a report card","a diary","a letter","a test","A. a report card","easy","School Riddles","Good marks live here.","Report cards summarize each term's grades.","published"
"12","Guess who: my grades tell your term's story, and parents sign my envelope. Who or what am I?","a test","a report card","a letter","a diary","B. a report card","medium","School Riddles","Good marks live here.","Report cards summarize each term's grades.","published"
"13","I am not saying my name yet: I carry my baby in a pouch, and I have mighty hopping legs. What am I?","a kangaroo","a koala","a rabbit","a wallaby","A. a kangaroo","easy","Animal Riddles","Look for the pocket.","A kangaroo keeps its joey safe in a pouch and hops on huge back legs.","published"
"14","Riddle me this: i carry my baby in a pouch — and i have mighty hopping legs. What am I?","a koala","a kangaroo","a wallaby","a rabbit","B. a kangaroo","medium","Animal Riddles","Look for the pocket.","A kangaroo keeps its joey safe in a pouch and hops on huge back legs.","published"
"15","Two clues and one name: I carry my baby in a pouch. Also: I have mighty hopping legs. Can you name me?","a wallaby","a kangaroo","a koala","a rabbit","B. a kangaroo","medium","Animal Riddles","Look for the pocket.","A kangaroo keeps its joey safe in a pouch and hops on huge back legs.","published"
"16","Guess who: i carry my baby in a pouch, and i have mighty hopping legs. Who or what am I?","a wallaby","a kangaroo","a rabbit","a koala","B. a kangaroo","medium","Animal Riddles","Look for the pocket.","A kangaroo keeps its joey safe in a pouch and hops on huge back legs.","published"
"17","I am not saying my name yet: I guard your sandwiches till noon, and Moms pack me every morning. What am I?","a cooler","a lunchbox","a drawer","a picnic basket","B. a lunchbox","medium","School Riddles","Midday meals travel in me.","A lunchbox keeps your meal safe until break time.","published"
"18","Riddle me this: i guard your sandwiches till noon — and moms pack me every morning. What am I?","a drawer","a lunchbox","a picnic basket","a cooler","B. a lunchbox","easy","School Riddles","Midday meals travel in me.","A lunchbox keeps your meal safe until break time.","published"
"19","Two clues and one name: I guard your sandwiches till noon. Also: Moms pack me every morning. Can you name me?","a lunchbox","a picnic basket","a cooler","a drawer","A. a lunchbox","easy","School Riddles","Midday meals travel in me.","A lunchbox keeps your meal safe until break time.","published"
"20","Guess who: i guard your sandwiches till noon, and moms pack me every morning. Who or what am I?","a cooler","a lunchbox","a picnic basket","a drawer","B. a lunchbox","medium","School Riddles","Midday meals travel in me.","A lunchbox keeps your meal safe until break time.","published"
"21","I am not saying my name yet: I gallop without leaving the room, and My arc keeps me swaying. What am I?","a swing","a rocking horse","a teddy bear","a bicycle","B. a rocking horse","easy","Easy Kids Riddles","Ride the waves of the nursery.","A rocking horse sways on curved runners.","published"
"22","Riddle me this: i gallop without leaving the room — and my arc keeps me swaying. What am I?","a swing","a rocking horse","a bicycle","a teddy bear","B. a rocking horse","easy","Easy Kids Riddles","Ride the waves of the nursery.","A rocking horse sways on curved runners.","published"
"23","Two clues and one name: I gallop without leaving the room. Also: My arc keeps me swaying. Can you name me?","a swing","a rocking horse","a teddy bear","a bicycle","B. a rocking horse","easy","Easy Kids Riddles","Ride the waves of the nursery.","A rocking horse sways on curved runners.","published"
"24","Guess who: i gallop without leaving the room, and my arc keeps me swaying. Who or what am I?","a rocking horse","a teddy bear","a swing","a bicycle","A. a rocking horse","medium","Easy Kids Riddles","Ride the waves of the nursery.","A rocking horse sways on curved runners.","published"
"25","I am not saying my name yet: Countries shrink onto my surface, and Spin me to travel the world. What am I?","a map","a globe of the earth","a balloon","a ball","B. a globe of the earth","easy","School Riddles","Blue and green, desk sized.","A desktop globe spins the whole planet in your hands.","published"
"26","Riddle me this: countries shrink onto my surface — and spin me to travel the world. What am I?","a globe of the earth","a balloon","a ball","a map","A. a globe of the earth","medium","School Riddles","Blue and green, desk sized.","A desktop globe spins the whole planet in your hands.","published"
"27","Two clues and one name: Countries shrink onto my surface. Also: Spin me to travel the world. Can you name me?","a globe of the earth","a balloon","a ball","a map","A. a globe of the earth","medium","School Riddles","Blue and green, desk sized.","A desktop globe spins the whole planet in your hands.","published"
"28","Guess who: countries shrink onto my surface, and spin me to travel the world. Who or what am I?","a globe of the earth","a ball","a balloon","a map","A. a globe of the earth","medium","School Riddles","Blue and green, desk sized.","A desktop globe spins the whole planet in your hands.","published"
"29","I am not saying my name yet: I change my skin color, and My eyes look two ways at once. What am I?","a gecko","a chameleon","an iguana","a frog","B. a chameleon","medium","Animal Riddles","The color-changing lizard.","Chameleons shift colors and move each eye independently.","published"
"30","Riddle me this: i change my skin color — and my eyes look two ways at once. What am I?","a frog","a chameleon","an iguana","a gecko","B. a chameleon","medium","Animal Riddles","The color-changing lizard.","Chameleons shift colors and move each eye independently.","published"
"31","Two clues and one name: I change my skin color. Also: My eyes look two ways at once. Can you name me?","a frog","a gecko","a chameleon","an iguana","C. a chameleon","hard","Animal Riddles","The color-changing lizard.","Chameleons shift colors and move each eye independently.","published"
"32","Guess who: i change my skin color, and my eyes look two ways at once. Who or what am I?","a chameleon","a gecko","an iguana","a frog","A. a chameleon","medium","Animal Riddles","The color-changing lizard.","Chameleons shift colors and move each eye independently.","published"
"33","I am not saying my name yet: I love rolling in mud, and I have a curly little tail. What am I?","a cow","a pig","a dog","a sheep","B. a pig","easy","Animal Riddles","Oink oink.","Pigs wallow in mud to stay cool.","published"
"34","Riddle me this: i love rolling in mud — and i have a curly little tail. What am I?","a sheep","a pig","a dog","a cow","B. a pig","easy","Animal Riddles","Oink oink.","Pigs wallow in mud to stay cool.","published"
"35","Two clues and one name: I love rolling in mud. Also: I have a curly little tail. Can you name me?","a pig","a sheep","a dog","a cow","A. a pig","medium","Animal Riddles","Oink oink.","Pigs wallow in mud to stay cool.","published"
"36","Guess who: i love rolling in mud, and i have a curly little tail. Who or what am I?","a sheep","a pig","a dog","a cow","B. a pig","medium","Animal Riddles","Oink oink.","Pigs wallow in mud to stay cool.","published"
"37","I am not saying my name yet: I borrow adventures for free, and Stamps tell when I am due. What am I?","a library card","a ticket","an ID badge","a coupon","A. a library card","easy","School Riddles","Your pass to endless stories.","A library card lets you take books home to read.","published"
"38","Riddle me this: i borrow adventures for free — and stamps tell when I am due. What am I?","an ID badge","a library card","a coupon","a ticket","B. a library card","medium","School Riddles","Your pass to endless stories.","A library card lets you take books home to read.","published"
"39","Two clues and one name: I borrow adventures for free. Also: Stamps tell when I am due. Can you name me?","a library card","an ID badge","a coupon","a ticket","A. a library card","easy","School Riddles","Your pass to endless stories.","A library card lets you take books home to read.","published"
