# Category: Trick Questions

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"1","How many letters are in the word MISSISSIPPI?","10","11","13","12","B. 11","easy","Gotchas","Count carefully, letter by letter.","MISSISSIPPI has exactly 11 letters.","published"
"2","How many letters are in the word BOOKKEEPER?","10","11","9","12","A. 10","easy","Gotchas","Count carefully, letter by letter.","BOOKKEEPER has exactly 10 letters.","published"
"3","How many letters are in the word STREETS?","7","6","9","8","A. 7","easy","Gotchas","Count carefully, letter by letter.","STREETS has exactly 7 letters.","published"
"4","How many letters are in the word BUBBLE?","5","6","8","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","BUBBLE has exactly 6 letters.","published"
"5","How many letters are in the word FOOTBALL?","7","8","9","10","B. 8","easy","Gotchas","Count carefully, letter by letter.","FOOTBALL has exactly 8 letters.","published"
"6","How many letters are in the word BREAKFAST?","9","10","11","8","A. 9","easy","Gotchas","Count carefully, letter by letter.","BREAKFAST has exactly 9 letters.","published"
"7","How many letters are in the word SHEEP?","5","4","7","6","A. 5","easy","Gotchas","Count carefully, letter by letter.","SHEEP has exactly 5 letters.","published"
"8","How many letters are in the word COMMITTEE?","10","9","8","11","B. 9","easy","Gotchas","Count carefully, letter by letter.","COMMITTEE has exactly 9 letters.","published"
"9","How many letters are in the word HANDKERCHIEF?","13","12","14","11","B. 12","easy","Gotchas","Count carefully, letter by letter.","HANDKERCHIEF has exactly 12 letters.","published"
"10","How many letters are in the word WEDNESDAY?","9","8","10","11","A. 9","easy","Gotchas","Count carefully, letter by letter.","WEDNESDAY has exactly 9 letters.","published"
"11","How many letters are in the word BUZZARD?","7","6","9","8","A. 7","easy","Gotchas","Count carefully, letter by letter.","BUZZARD has exactly 7 letters.","published"
"12","How many letters are in the word AARDVARK?","7","8","9","10","B. 8","easy","Gotchas","Count carefully, letter by letter.","AARDVARK has exactly 8 letters.","published"
"13","How many letters are in the word SUCCESS?","8","7","9","6","B. 7","easy","Gotchas","Count carefully, letter by letter.","SUCCESS has exactly 7 letters.","published"
"14","How many letters are in the word TOMORROW?","8","7","10","9","A. 8","easy","Gotchas","Count carefully, letter by letter.","TOMORROW has exactly 8 letters.","published"
"15","How many letters are in the word PINEAPPLE?","10","9","8","11","B. 9","easy","Gotchas","Count carefully, letter by letter.","PINEAPPLE has exactly 9 letters.","published"
"16","How many letters are in the word CHOOSE?","6","8","7","5","A. 6","easy","Gotchas","Count carefully, letter by letter.","CHOOSE has exactly 6 letters.","published"
"17","How many letters are in the word QUEUE?","5","7","6","4","A. 5","easy","Gotchas","Count carefully, letter by letter.","QUEUE has exactly 5 letters.","published"
"18","How many letters are in the word RHUBARB?","9","7","6","8","B. 7","easy","Gotchas","Count carefully, letter by letter.","RHUBARB has exactly 7 letters.","published"
"19","How many letters are in the word VACUUM?","8","6","5","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","VACUUM has exactly 6 letters.","published"
"20","How many letters are in the word ONION?","5","4","6","7","A. 5","easy","Gotchas","Count carefully, letter by letter.","ONION has exactly 5 letters.","published"
"21","How many letters are in the word LADDER?","6","8","7","5","A. 6","easy","Gotchas","Count carefully, letter by letter.","LADDER has exactly 6 letters.","published"
"22","How many letters are in the word CABBAGE?","8","7","9","6","B. 7","easy","Gotchas","Count carefully, letter by letter.","CABBAGE has exactly 7 letters.","published"
"23","How many letters are in the word MIRROR?","6","7","8","5","A. 6","easy","Gotchas","Count carefully, letter by letter.","MIRROR has exactly 6 letters.","published"
"24","How many letters are in the word ORANGE?","6","5","7","8","A. 6","easy","Gotchas","Count carefully, letter by letter.","ORANGE has exactly 6 letters.","published"
"25","How many letters are in the word ELEPHANT?","7","8","9","10","B. 8","easy","Gotchas","Count carefully, letter by letter.","ELEPHANT has exactly 8 letters.","published"
"26","How many letters are in the word GUITAR?","6","8","7","5","A. 6","easy","Gotchas","Count carefully, letter by letter.","GUITAR has exactly 6 letters.","published"
"27","How many letters are in the word PLANET?","5","6","8","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","PLANET has exactly 6 letters.","published"
"28","How many letters are in the word SILVER?","8","6","7","5","B. 6","easy","Gotchas","Count carefully, letter by letter.","SILVER has exactly 6 letters.","published"
"29","How many letters are in the word WINTER?","6","7","5","8","A. 6","easy","Gotchas","Count carefully, letter by letter.","WINTER has exactly 6 letters.","published"
"30","How many letters are in the word GARDEN?","8","6","5","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","GARDEN has exactly 6 letters.","published"
"31","How many letters are in the word MARKET?","5","6","8","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","MARKET has exactly 6 letters.","published"
"32","How many letters are in the word FLOWER?","6","7","5","8","A. 6","easy","Gotchas","Count carefully, letter by letter.","FLOWER has exactly 6 letters.","published"
"33","How many letters are in the word CIRCLE?","8","6","5","7","B. 6","easy","Gotchas","Count carefully, letter by letter.","CIRCLE has exactly 6 letters.","published"
"34","How many letters are in the word BOTTLE?","6","7","8","5","A. 6","easy","Gotchas","Count carefully, letter by letter.","BOTTLE has exactly 6 letters.","published"
"35","How many letters are in the word ISLAND?","7","6","5","8","B. 6","easy","Gotchas","Count carefully, letter by letter.","ISLAND has exactly 6 letters.","published"
"36","How many letters are in the word CANDLE?","6","8","5","7","A. 6","easy","Gotchas","Count carefully, letter by letter.","CANDLE has exactly 6 letters.","published"
"37","How many letters are in the word SUGAR?","7","5","4","6","B. 5","easy","Gotchas","Count carefully, letter by letter.","SUGAR has exactly 5 letters.","published"
"38","How many letters are in the word TRAIN?","6","5","4","7","B. 5","easy","Gotchas","Count carefully, letter by letter.","TRAIN has exactly 5 letters.","published"
"39","How many letters are in the word PAPER?","5","6","4","7","A. 5","easy","Gotchas","Count carefully, letter by letter.","PAPER has exactly 5 letters.","published"
"40","How many letters are in the word CLOUD?","5","4","7","6","A. 5","easy","Gotchas","Count carefully, letter by letter.","CLOUD has exactly 5 letters.","published"
"41","How many letters are in the word LEMON?","6","5","4","7","B. 5","easy","Gotchas","Count carefully, letter by letter.","LEMON has exactly 5 letters.","published"
"42","How many letters are in the word MUSIC?","5","7","6","4","A. 5","easy","Gotchas","Count carefully, letter by letter.","MUSIC has exactly 5 letters.","published"
"43","How many letters are in the word TIGER?","5","4","7","6","A. 5","easy","Gotchas","Count carefully, letter by letter.","TIGER has exactly 5 letters.","published"
"44","How many letters are in the word PLANT?","4","5","6","7","B. 5","easy","Gotchas","Count carefully, letter by letter.","PLANT has exactly 5 letters.","published"
"45","How many letters are in the word STONE?","5","7","4","6","A. 5","easy","Gotchas","Count carefully, letter by letter.","STONE has exactly 5 letters.","published"
"46","You are running a race and you overtake the runner in second place. What place are you in now?","Third","First","Second","Depends on the speed","C. Second","medium","Gotchas","Think again about who you passed.","Overtaking the runner in second puts you in second place.","published"
"47","If you take two apples from three apples, how many apples do you have?","Two","None","Three","One","A. Two","medium","Gotchas","You are the one taking them.","You took two apples, so you have two.","published"
"48","You have one match and enter a dark room with a candle, an oil lamp, and a fireplace. What do you light first?","The oil lamp","The match","The fireplace","The candle","B. The match","medium","Gotchas","Without this, nothing else burns.","You must light the match first.","published"
"49","Two people played five games of chess and each won the same number of games, with no draws. How?","They played online","They were not playing each other","One cheated","It is impossible","B. They were not playing each other","medium","Gotchas","Who were they playing?","They played different opponents, not each other.","published"
"50","What is the average number of birthdays a person has?","One per year","It varies by country","One","Seventy","C. One","medium","Gotchas","A birthday is a day, not a party.","Everyone has exactly one birthday; you celebrate it many times.","published"
"51","Divide thirty by half and add ten. What do you get?","Seventy","Twenty-five","Forty","Sixty","A. Seventy","medium","Gotchas","Dividing by one half is not dividing by two.","30 divided by 0.5 is 60, plus 10 makes 70.","published"
"52","If five machines make five widgets in five minutes, how long do 100 machines need to make 100 widgets?","One minute","Five minutes","One hundred minutes","Twenty minutes","B. Five minutes","medium","Gotchas","Each machine still takes five minutes.","100 machines working in parallel still finish in five minutes.","published"
"53","Two coins add up to 30 cents, and one of them is not a nickel. What are they?","A quarter and five pennies","A dime and a penny","A quarter and a nickel","Two dimes","C. A quarter and a nickel","medium","Gotchas","Read it again: only ONE of them is not a nickel.","A quarter and a nickel: the quarter is the one that is not a nickel.","published"
"54","Which sentence is correct: the yolk of the egg IS white, or the yolk of the egg ARE white?","Neither, the yolk is yellow","Both are fine","The first one","The second one","A. Neither, the yolk is yellow","medium","Gotchas","Check the color, not the grammar.","Neither: yolks are yellow, so both sentences are wrong.","published"
"55","What can you hold in your right hand but never in your left hand?","Your right elbow","Your left hand","A glove","A mirror","A. Your right elbow","medium","Gotchas","It is attached to you.","Your right hand cannot reach your right elbow to hold it.","published"
"56","How many letters does the word MISSISSIPPI contain?","11","12","9","10","A. 11","easy","Common-Sense Traps","Slow, careful counting wins.","MISSISSIPPI has 11 letters.","published"
"57","How many letters does the word BOOKKEEPER contain?","10","8","11","9","A. 10","easy","Common-Sense Traps","Slow, careful counting wins.","BOOKKEEPER has 10 letters.","published"
"58","How many letters does the word STREETS contain?","6","7","5","8","B. 7","easy","Common-Sense Traps","Slow, careful counting wins.","STREETS has 7 letters.","published"
"59","How many letters does the word BUBBLE contain?","7","6","4","5","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","BUBBLE has 6 letters.","published"
"60","How many letters does the word FOOTBALL contain?","8","7","6","9","A. 8","easy","Common-Sense Traps","Slow, careful counting wins.","FOOTBALL has 8 letters.","published"
"61","How many letters does the word BREAKFAST contain?","9","10","8","7","A. 9","easy","Common-Sense Traps","Slow, careful counting wins.","BREAKFAST has 9 letters.","published"
"62","How many letters does the word SHEEP contain?","4","5","6","3","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","SHEEP has 5 letters.","published"
"63","How many letters does the word COMMITTEE contain?","9","7","10","8","A. 9","easy","Common-Sense Traps","Slow, careful counting wins.","COMMITTEE has 9 letters.","published"
"64","How many letters does the word HANDKERCHIEF contain?","13","12","10","11","B. 12","easy","Common-Sense Traps","Slow, careful counting wins.","HANDKERCHIEF has 12 letters.","published"
"65","How many letters does the word WEDNESDAY contain?","9","10","8","7","A. 9","easy","Common-Sense Traps","Slow, careful counting wins.","WEDNESDAY has 9 letters.","published"
"66","How many letters does the word BUZZARD contain?","7","8","6","5","A. 7","easy","Common-Sense Traps","Slow, careful counting wins.","BUZZARD has 7 letters.","published"
"67","How many letters does the word AARDVARK contain?","9","8","6","7","B. 8","easy","Common-Sense Traps","Slow, careful counting wins.","AARDVARK has 8 letters.","published"
"68","How many letters does the word SUCCESS contain?","7","5","6","8","A. 7","easy","Common-Sense Traps","Slow, careful counting wins.","SUCCESS has 7 letters.","published"
"69","How many letters does the word TOMORROW contain?","8","7","6","9","A. 8","easy","Common-Sense Traps","Slow, careful counting wins.","TOMORROW has 8 letters.","published"
"70","How many letters does the word PINEAPPLE contain?","10","9","7","8","B. 9","easy","Common-Sense Traps","Slow, careful counting wins.","PINEAPPLE has 9 letters.","published"
"71","How many letters does the word CHOOSE contain?","6","5","7","4","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","CHOOSE has 6 letters.","published"
"72","How many letters does the word QUEUE contain?","4","5","3","6","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","QUEUE has 5 letters.","published"
"73","How many letters does the word RHUBARB contain?","8","7","5","6","B. 7","easy","Common-Sense Traps","Slow, careful counting wins.","RHUBARB has 7 letters.","published"
"74","How many letters does the word VACUUM contain?","6","7","5","4","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","VACUUM has 6 letters.","published"
"75","How many letters does the word ONION contain?","5","6","3","4","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","ONION has 5 letters.","published"
"76","How many letters does the word LADDER contain?","5","6","4","7","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","LADDER has 6 letters.","published"
"77","How many letters does the word CABBAGE contain?","5","7","8","6","B. 7","easy","Common-Sense Traps","Slow, careful counting wins.","CABBAGE has 7 letters.","published"
"78","How many letters does the word MIRROR contain?","6","4","5","7","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","MIRROR has 6 letters.","published"
"79","How many letters does the word ORANGE contain?","5","6","4","7","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","ORANGE has 6 letters.","published"
"80","How many letters does the word ELEPHANT contain?","6","8","7","9","B. 8","easy","Common-Sense Traps","Slow, careful counting wins.","ELEPHANT has 8 letters.","published"
"81","How many letters does the word GUITAR contain?","6","4","7","5","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","GUITAR has 6 letters.","published"
"82","How many letters does the word PLANET contain?","4","6","7","5","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","PLANET has 6 letters.","published"
"83","How many letters does the word SILVER contain?","5","6","7","4","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","SILVER has 6 letters.","published"
"84","How many letters does the word WINTER contain?","6","7","4","5","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","WINTER has 6 letters.","published"
"85","How many letters does the word GARDEN contain?","7","6","5","4","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","GARDEN has 6 letters.","published"
"86","How many letters does the word MARKET contain?","4","6","7","5","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","MARKET has 6 letters.","published"
"87","How many letters does the word FLOWER contain?","6","7","5","4","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","FLOWER has 6 letters.","published"
"88","How many letters does the word CIRCLE contain?","4","6","5","7","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","CIRCLE has 6 letters.","published"
"89","How many letters does the word BOTTLE contain?","6","5","7","4","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","BOTTLE has 6 letters.","published"
"90","How many letters does the word ISLAND contain?","5","6","4","7","B. 6","easy","Common-Sense Traps","Slow, careful counting wins.","ISLAND has 6 letters.","published"
"91","How many letters does the word CANDLE contain?","6","4","7","5","A. 6","easy","Common-Sense Traps","Slow, careful counting wins.","CANDLE has 6 letters.","published"
"92","How many letters does the word SUGAR contain?","3","5","4","6","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","SUGAR has 5 letters.","published"
"93","How many letters does the word TRAIN contain?","5","6","3","4","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","TRAIN has 5 letters.","published"
"94","How many letters does the word PAPER contain?","5","3","4","6","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","PAPER has 5 letters.","published"
"95","How many letters does the word CLOUD contain?","6","5","4","3","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","CLOUD has 5 letters.","published"
"96","How many letters does the word LEMON contain?","5","4","6","3","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","LEMON has 5 letters.","published"
"97","How many letters does the word MUSIC contain?","5","4","6","3","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","MUSIC has 5 letters.","published"
"98","How many letters does the word TIGER contain?","4","5","3","6","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","TIGER has 5 letters.","published"
"99","How many letters does the word PLANT contain?","5","3","6","4","A. 5","easy","Common-Sense Traps","Slow, careful counting wins.","PLANT has 5 letters.","published"
"100","How many letters does the word STONE contain?","3","5","4","6","B. 5","easy","Common-Sense Traps","Slow, careful counting wins.","STONE has 5 letters.","published"
"101","A baker packs 42 buns equally into 7 baskets. How many buns per basket?","6","7","9","35","A. 6","easy","Common-Sense Traps","Divide the total by the baskets.","42 divided by 7 is 6.","published"
"102","A baker packs 18 muffins equally into 9 baskets. How many muffins per basket?","5","2","9","3","B. 2","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 9 is 2.","published"
"103","A baker packs 24 crayons equally into 4 baskets. How many crayons per basket?","20","6","4","7","B. 6","easy","Common-Sense Traps","Divide the total by the baskets.","24 divided by 4 is 6.","published"
"104","A baker packs 35 bagels equally into 7 baskets. How many bagels per basket?","5","7","28","6","A. 5","easy","Common-Sense Traps","Divide the total by the baskets.","35 divided by 7 is 5.","published"
"105","A baker packs 21 crayons equally into 7 baskets. How many crayons per basket?","14","3","7","4","B. 3","easy","Common-Sense Traps","Divide the total by the baskets.","21 divided by 7 is 3.","published"
"106","A baker packs 21 cookies equally into 7 baskets. How many cookies per basket?","4","3","7","14","B. 3","easy","Common-Sense Traps","Divide the total by the baskets.","21 divided by 7 is 3.","published"
"107","A baker packs 30 buns equally into 6 baskets. How many buns per basket?","5","6","8","24","A. 5","easy","Common-Sense Traps","Divide the total by the baskets.","30 divided by 6 is 5.","published"
"108","A baker packs 20 crayons equally into 4 baskets. How many crayons per basket?","5","6","4","16","A. 5","easy","Common-Sense Traps","Divide the total by the baskets.","20 divided by 4 is 5.","published"
"109","A baker packs 36 oranges equally into 6 baskets. How many oranges per basket?","30","6","9","7","B. 6","easy","Common-Sense Traps","Divide the total by the baskets.","36 divided by 6 is 6.","published"
"110","A baker packs 15 marbles equally into 5 baskets. How many marbles per basket?","3","5","10","4","A. 3","easy","Common-Sense Traps","Divide the total by the baskets.","15 divided by 5 is 3.","published"
"111","A baker packs 14 apples equally into 7 baskets. How many apples per basket?","5","2","3","7","B. 2","easy","Common-Sense Traps","Divide the total by the baskets.","14 divided by 7 is 2.","published"
"112","A baker packs 18 bagels equally into 9 baskets. How many bagels per basket?","2","9","3","5","A. 2","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 9 is 2.","published"
"113","A baker packs 18 marbles equally into 3 baskets. How many marbles per basket?","6","7","3","15","A. 6","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 3 is 6.","published"
"114","A baker packs 18 apples equally into 6 baskets. How many apples per basket?","4","3","12","6","B. 3","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 6 is 3.","published"
"115","A baker packs 45 cookies equally into 9 baskets. How many cookies per basket?","5","9","6","36","A. 5","easy","Common-Sense Traps","Divide the total by the baskets.","45 divided by 9 is 5.","published"
"116","A baker packs 30 bagels equally into 5 baskets. How many bagels per basket?","25","6","5","7","B. 6","easy","Common-Sense Traps","Divide the total by the baskets.","30 divided by 5 is 6.","published"
"117","A baker packs 54 buns equally into 9 baskets. How many buns per basket?","9","6","45","7","B. 6","easy","Common-Sense Traps","Divide the total by the baskets.","54 divided by 9 is 6.","published"
"118","A baker packs 15 cookies equally into 5 baskets. How many cookies per basket?","3","10","5","4","A. 3","easy","Common-Sense Traps","Divide the total by the baskets.","15 divided by 5 is 3.","published"
"119","A baker packs 25 cookies equally into 5 baskets. How many cookies per basket?","5","6","8","20","A. 5","easy","Common-Sense Traps","Divide the total by the baskets.","25 divided by 5 is 5.","published"
"120","A baker packs 12 oranges equally into 4 baskets. How many oranges per basket?","8","3","4","6","B. 3","easy","Common-Sense Traps","Divide the total by the baskets.","12 divided by 4 is 3.","published"
"121","A baker packs 20 bagels equally into 5 baskets. How many bagels per basket?","4","5","15","7","A. 4","easy","Common-Sense Traps","Divide the total by the baskets.","20 divided by 5 is 4.","published"
"122","A baker packs 8 crayons equally into 4 baskets. How many crayons per basket?","5","2","3","4","B. 2","easy","Common-Sense Traps","Divide the total by the baskets.","8 divided by 4 is 2.","published"
"123","A baker packs 20 crayons equally into 5 baskets. How many crayons per basket?","7","4","5","15","B. 4","easy","Common-Sense Traps","Divide the total by the baskets.","20 divided by 5 is 4.","published"
"124","A baker packs 18 marbles equally into 9 baskets. How many marbles per basket?","2","3","5","9","A. 2","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 9 is 2.","published"
"125","A baker packs 18 cookies equally into 3 baskets. How many cookies per basket?","6","3","7","15","A. 6","easy","Common-Sense Traps","Divide the total by the baskets.","18 divided by 3 is 6.","published"
"126","A baker packs 24 bagels equally into 4 baskets. How many bagels per basket?","7","6","4","20","B. 6","easy","Common-Sense Traps","Divide the total by the baskets.","24 divided by 4 is 6.","published"
