# Subject: Art & Culture
ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Level,Chapter
1,The Mona Lisa was painted by Leonardo da Vinci.,False,True,,,A,easy,Painting
2,A piano has 88 keys.,True,False,,,B,easy,Music
3,The Pyramids of Giza are located in Egypt.,False,True,,,A,easy,Architecture
4,Shakespeare wrote only comedies.,False,True,,,B,easy,Literature
5,What is Mexico's folkloric dance?,Jarabe Tapatío,Cumbia,,,B,easy,Dance
6,What artist created 'The Gates of Hell'?,Auguste Rodin,Donatello,,,A,easy,Sculpture
7,What is the highest-grossing film of all time?,Avatar,Avengers,,,B,easy,Cinema
8,What musical features 'Don't Cry for Me Argentina'?,Evita,Cats,,,A,easy,Theater
9,What is the New Orleans jazz festival called?,Jazz Fest,Mardi Gras,,,A,easy,Festivals
10,Where is the Palace Museum?,Shanghai,Beijing,,,B,easy,Museums
11,Which artist painted 'The Water Lily Pond'?,Claude Monet,Pierre-Auguste Renoir,Camille Pissarro,,A,hard,Painting
12,Which composer wrote 'Carmen'?,Georges Bizet,Giuseppe Verdi,Giacomo Puccini,,A,hard,Music
13,Who designed the Marina Bay Sands?,Moshe Safdie,Norman Foster,Zaha Hadid,,A,hard,Architecture
14,"Who wrote 'Weep Not, Child'?",Ngũgĩ wa Thiong,",
                    ",",
                    ",,A,hard,Literature
15,How many dancers traditionally perform Bharatanatyam?,Solo,Duo,Group,,A,hard,Dance
16,What is the tallest statue in the world?,Statue of Unity,Spring Temple Buddha,Statue of Liberty,,A,hard,Sculpture
17,Who directed '2001: A Space Odyssey'?,Stanley Kubrick,Ridley Scott,Steven Spielberg,,A,hard,Cinema
18,What is the Spanish flamenco theater form?,Tablao,Zarzuela,Corrida,,A,hard,Theater
19,What Portuguese tiles are decorative?,Azulejos,Mosaicos,Ladrilhos,,A,hard,World Heritage
20,What is Chinese blue and white porcelain?,Ming porcelain,Jade,Cloisonné,,A,hard,Crafts
21,Which movement did Kazimir Malevich found?,Suprematism,Constructivism,Rayonism,Futurism,A,expert,Painting
22,How many string quartets did Beethoven write?,16,14,18,20,A,expert,Music
23,Who designed Brasília's buildings?,Oscar Niemeyer,Lúcio Costa,Paulo Mendes da Rocha,Vilanova Artigas,A,expert,Architecture
24,Who wrote 'Disgrace'?,J.M. Coetzee,Nadine Gordimer,Athol Fugard,Breyten Breytenbach,A,expert,Literature
25,Who created the 'Unique Forms of Continuity in Space'?,Umberto Boccioni,Filippo Marinetti,Giacomo Balla,Carlo Carrà,A,expert,Sculpture
26,What is the Danish film movement of 1995?,Dogme 95,New Danish,Nordic Noir,Scandinavian Wave,A,expert,Cinema
27,Who wrote 'Death of a Salesman'?,Arthur Miller,Tennessee Williams,Edward Albee,Clifford Odets,A,expert,Theater
28,What museum houses Monet's Water Lilies?,Orangerie,Louvre,Orsay,Rodin,A,expert,Museums
29,What is painting with wax-based paint?,Encaustic,,,,A,extreme,Painting
30,What is the term for a pause or hold?,Fermata,,,,A,extreme,Music
31,What is the triangular space in a pediment?,Tympanum,,,,A,extreme,Architecture
32,What is repetition of initial consonant sounds?,Alliteration,,,,A,extreme,Literature
33,What is a series of turns across the stage?,Chaînés or Piqué turns,,,,A,extreme,Dance
34,What is a three-dimensional artwork hanging in space?,Mobile,,,,A,extreme,Sculpture
35,What is uninterrupted shot from one position?,Static shot or Fixed shot,,,,A,extreme,Cinema
36,What is traditional Balinese dance-drama?,Legong or Barong,,,,A,extreme,Theater
37,What is the Indian festival of lights?,Diwali or Deepavali,,,,A,extreme,Festivals
38,What is decorative openwork embroidery?,Cutwork,,,,A,extreme,Crafts
39,Pablo Picasso was a Spanish painter.,True,False,,,A,easy,Painting
40,Beethoven composed nine symphonies.,False,True,,,B,easy,Music
41,The Taj Mahal is located in India.,True,False,,,A,easy,Architecture
42,George Orwell wrote '1984'.,False,True,,,B,easy,Literature
43,Ballet originated in Italy.,True,False,,,A,easy,Dance
44,The Thinker was created by Rodin.,False,True,,,B,easy,Sculpture
45,The first feature-length film was silent.,True,False,,,A,easy,Cinema
46,Shakespeare's Globe Theatre is in London.,True,False,,,B,easy,Theater
47,The Louvre is the world's largest art museum.,False,True,,,B,easy,Museums
48,Origami is the Japanese art of paper folding.,True,False,,,A,easy,Crafts
49,Who painted 'The Scream'?,Edvard Munch,Vincent van Gogh,,,A,medium,Painting
50,What is Mozart's first name?,Wolfgang,Ludwig,,,A,medium,Music
