# Category: Lateral Thinking

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"1","A pilot jumps out of a plane with no parachute, lands safely, and walks away whistling.","The plane was parked","He landed in a lake","A team caught him","He wore two parachutes","A. The plane was parked","easy","Lateral Puzzles","How high off the ground was he?","The plane never took off, so his big leap was one step down onto the tarmac.","published"
"2","A man stands all day holding a sign that says SLOW. The traffic obeys, the road works, and he goes home exhausted.","A marathon marshal","A crossing guard","A roadworks sign holder","A film extra","C. A roadworks sign holder","medium","Lateral Puzzles","Look at the roadworks, not the word.","The sign holder at roadworks barely moves, yet his sign manages all the traffic.","published"
"3","A musician's song plays millions of times a day, yet nobody knows her name or face.","An anonymous choir","A hold music composer","A nursery rhyme writer","A ringtone designer","B. A hold music composer","medium","Lateral Puzzles","You have heard me this week, waiting.","Hold music reaches millions of captive ears, and its composers stay unknown.","published"
"4","A grandmother's handwritten recipe is now followed exactly by machines in forty countries.","A television chef","A factory production line","A family cookbook","A smart oven brand","B. A factory production line","easy","Lateral Puzzles","You have probably eaten it this week.","Mass production copies her recipe gram for gram around the world.","published"
"5","A man writes replies every week to letters addressed to a detective who never existed.","A fan club president","A novelist's assistant","A film studio archivist","A clerk at 221B Baker Street","D. A clerk at 221B Baker Street","hard","Lateral Puzzles","The address is the famous part.","Mail sent to 221B Baker Street is answered faithfully by the museum's staff.","published"
"6","A woman is paid to sleep on the job, and her naps become products.","A hotel inspector","A mattress tester","A sleep scientist","A spa manager","B. A mattress tester","hard","Lateral Puzzles","Her opinions are bought by the inch.","Professional mattress testers nap for a living and rate every spring.","published"
"7","An instructor awards a man a zero, and he celebrates with his friends.","A golf lesson","A bowling league","A driving test","A darts night","A. A golf lesson","medium","Lateral Puzzles","Lower is better here.","In golf, zero strokes on a hole is the dream every player cheers.","published"
"8","Twins are born four minutes apart, yet their birthdays fall on different days.","The ship crossed the date line","One was adopted abroad","The hospital clock was wrong","The doctor misfiled the form","A. The ship crossed the date line","hard","Lateral Puzzles","Their mother was in the middle of the Pacific.","Crossing the International Date Line during birth splits twins across two dates.","published"
"9","A woman runs a business where every single customer fails, and they leave grinning and book again.","A boot camp","An escape room","A casino","A maze park","B. An escape room","easy","Lateral Puzzles","The clock always wins here.","Escape room owners profit from failure; losing IS the entertainment.","published"
"10","Firefighters deliberately set a house on fire while the owner cheers them on.","A film stunt","A controlled training burn","A demolition job","An insurance job","B. A controlled training burn","medium","Lateral Puzzles","The house was already condemned.","Condemned houses are burned by crews to train new firefighters safely.","published"
"11","A woman returns from abroad thinner, paler, and richer than when she left.","She walked across the country","She fasted at a retreat","She sold her wardrobe","She sold her hair","D. She sold her hair","hard","Lateral Puzzles","Twenty inches of it.","Hair buyers abroad pay well for long healthy hair, leaving sellers lighter and richer.","published"
"12","A man speaks twelve languages fluently but has never once ordered coffee aloud in his own city.","He is deaf","He works from home","He only drinks tea","He recently moved","A. He is deaf","easy","Lateral Puzzles","His languages need no voice.","All twelve of his languages are sign languages, ordered silently by hand.","published"
"13","A painter covers a masterpiece with flat gray paint while the original artist watches, satisfied.","The painting failed inspection","The original is being hidden from thieves","The artist retired that day","It is being recycled","B. The original is being hidden from thieves","hard","Lateral Puzzles","Gray is temporary; war is not.","Masterpieces were coated in plain paint to hide them from wartime looters.","published"
"14","A man buys forty loaves of bread every Saturday and throws every one into the lake.","He manages a fish farm","He runs a duck festival","He is baiting crab and fish traps","He lost a bet with the baker","C. He is baiting crab and fish traps","medium","Lateral Puzzles","Something under the surface loves bread.","Bread is cheap, effective bait for crab pots and fishing spots.","published"
"15","A man's signature signs thousands of official documents he has never seen or read.","A ghostwriter signs","A stamp clerk signs","The autopen signs for him","A court order binds him","C. The autopen signs for him","hard","Lateral Puzzles","The machine has his hand.","Officials sign documents by autopen, a machine duplicating their real signature.","published"
"16","Every morning a woman shouts numbers from her balcony, and the whole street thanks her.","She leads the street's morning exercise","She sells vegetables below","She reads bingo lines remotely","She calls the school roll","A. She leads the street's morning exercise","medium","Lateral Puzzles","The neighbors are all doing the same thing at the same time.","From her balcony she counts out the neighborhood's daily workout.","published"
"17","A company's most valuable room must stay empty; even the air is scrubbed before it may enter.","A bank vault","A wine cellar","A semiconductor clean room","An evidence locker","C. A semiconductor clean room","hard","Lateral Puzzles","One speck ruins everything made inside.","Chip factories keep dust-free clean rooms; a single particle ruins a wafer.","published"
"18","Children salute a woman every school morning, though she has never taught, governed, or worn a uniform.","She is the school cook","She is the crossing guard","She is the mayor","She is the caretaker","B. She is the crossing guard","easy","Lateral Puzzles","She owns the road twice a day.","The crossing guard is saluted by every child she walks across the road.","published"
"19","A farmer's prize field grows nothing but stones, and he is delighted every harvest.","He sells the stone for building","He is mining in secret","It is a sculpture park","It is a rock garden","A. He sells the stone for building","hard","Lateral Puzzles","His crop is stacked in walls.","Some fields yield saleable building stone, and farmers harvest it happily.","published"
"20","A woman rides the last train to the final stop and immediately rides it home again, delighted.","It is a scenic tourist railway","She left her bag onboard","She is the ticket inspector","She cannot sleep at home","A. It is a scenic tourist railway","easy","Lateral Puzzles","The journey is the whole point.","Tourist heritage lines exist so the ride itself, not the destination, is the treat.","published"
"21","A man writes secret words in lemon juice, and his friend passes the page over a candle. What appears?","","","","","the hidden writing","expert","Lateral Puzzles","Heat brings the words out.","Lemon juice browns under heat, revealing the hidden writing.","published"
"22","A torch is passed through a thousand hands across a country, and the last runner barely runs. What travels on?","","","","","the Olympic flame","expert","Lateral Puzzles","It never goes out between runners.","The Olympic relay passes a single continuous flame from hand to hand.","published"
"23","A man guards a room so clean that even the air is washed before entering. What is made inside?","","","","","microchips","expert","Lateral Puzzles","Silicon hates dust.","Microchips are etched in clean rooms where one dust speck ruins the batch.","published"
"24","What did the woman sell abroad to come home richer and with less of herself?","","","","","hair","expert","Lateral Puzzles","Twenty inches of it, in one sitting.","Long hair sells for a high price to wig makers overseas.","published"
"25","What sits in the second seat of every train this man takes, holding its own ticket?","","","","","a cello","expert","Lateral Puzzles","It is too precious for the luggage rack.","Cellists buy a second seat because the instrument is too fragile to check.","published"
"26","A man slides a heavy polished stone across the ice, shouting instructions at two people with brooms, and the crowd applauds.","A stone skipping contest","Curling","An ice sculpting duel","A broomball match","B. Curling","easy","Lateral Puzzles","The brooms are not for sweeping floors.","Curling players sweep the ice to steer their stone, and the crowd loves it.","published"
"27","A man arrives at work completely soaked though he used his umbrella the entire way.","A car splashed him at the curb","The wind turned the umbrella inside out","His office roof was leaking","He waded through a flooded street","B. The wind turned the umbrella inside out","medium","Lateral Puzzles","The umbrella fought the rain and lost.","A gust inverted his umbrella, so he arrived drenched despite holding it.","published"
"28","A blind man wins a cycling race against riders with perfect eyesight.","The other riders took a wrong turn","His bicycle had a hidden motor","He rode a tandem with a sighted pilot","The course was entirely downhill","C. He rode a tandem with a sighted pilot","medium","Lateral Puzzles","He was not the only one on the bike.","Paralympic tandem racing pairs a blind stoker with a sighted pilot in front.","published"
"29","A man's job is to break into houses in broad daylight while the owners wave at him.","He is a locksmith","He is a window cleaner","He is a building surveyor","He is a reformed burglar","A. He is a locksmith","medium","Lateral Puzzles","People lose their keys, and he profits.","Locksmiths open locked homes legally every day for the grateful owners.","published"
"30","A man spends his lunch break watching paint dry, and his boss demands a full written report.","A house painter","A paint quality inspector","A miniature model painter","An art teacher","B. A paint quality inspector","hard","Lateral Puzzles","Drying time is serious data in his trade.","Coatings technicians record drying times, hardness, and gloss for a living.","published"
"31","A woman tips her umbrella against the step every night before going indoors.","She is shaking out spiders","She is drying the canopy","It is a family superstition","She is checking for cracks","A. She is shaking out spiders","hard","Lateral Puzzles","Something may have come in from the rain with her.","A crisp tap on the ground evicts any spider sheltering in the folded canopy.","published"
