ID,Setup,Punchline,Category,Status
1,"What is the longest word in the dictionary?","Smiles, because there is a mile between the first and last letters.","Wordplay & Puns","draft"
2,"What five letter word becomes shorter when you add two letters?","Short.","Wordplay & Puns","draft"
3,"What is at the end of everything?","The letter G.","Wordplay & Puns","draft"
4,"What starts with E, ends with E, and has one letter in it?","An envelope.","Wordplay & Puns","draft"
5,"What starts with T, ends with T, and has T in it?","A teapot.","Wordplay & Puns","draft"
6,"What do you call a witch who loves the beach?","A sandwich.","Wordplay & Puns","draft"
7,"What do you call a man with a rubber toe?","Roberto.","Wordplay & Puns","draft"
8,"What do you call a man with a spade on his head?","Doug.","Wordplay & Puns","draft"
9,"What do you call a man with a car on his head?","Jack.","Wordplay & Puns","draft"
10,"What do you call a man floating in the ocean?","Bob.","Wordplay & Puns","draft"
11,"What do you call a man lying in a pile of leaves?","Russell.","Wordplay & Puns","draft"
12,"What do you call a man lying in front of your door?","Matt.","Wordplay & Puns","draft"
13,"What do you call the perimeter of a circle dressed as a knight?","Sir Cumference.","Wordplay & Puns","draft"
14,"What do you call a Roman numeral that will not sit still?","A roamin numeral.","Wordplay & Puns","draft"
15,"What do you call someone who loves puns?","A pun-dit.","Wordplay & Puns","draft"
16,"What did the comma say to the clause?","Stop right there.","Wordplay & Puns","draft"
17,"Why did the comma feel controlling?","It was always telling people where to pause.","Wordplay & Puns","draft"
18,"Why did the synonym never argue?","It could always find another way to say it.","Wordplay & Puns","draft"
19,"Why did the antonym love debates?","It always took the opposite side.","Wordplay & Puns","draft"
20,"Why was the homophone hard to understand?","You could not tell which one it was.","Wordplay & Puns","draft"
21,"Why was the palindrome so dependable?","It read exactly the same coming and going.","Wordplay & Puns","draft"
22,"Why was the acronym in a hurry?","It was always short on time.","Wordplay & Puns","draft"
23,"Why was the verb always in motion?","It could never just be.","Wordplay & Puns","draft"
24,"Why did the noun get along with everyone?","It was a real people, places, and things person.","Wordplay & Puns","draft"
25,"Why did the conjunction get invited to every party?","It was great at bringing people together.","Wordplay & Puns","draft"
26,"What do you call a man with a seagull on his head?","Cliff.","Wordplay & Puns","draft"
27,"What do you call a man working in the garden?","Herb.","Wordplay & Puns","draft"
28,"What do you call a ghost's little mistake?","A boo-boo.","Wordplay & Puns","draft"
29,"What do you call a train that sneezes?","An a-choo choo train.","Wordplay & Puns","draft"
30,"What do you call a bear with no ears?","A B.","Wordplay & Puns","draft"
31,"What do you call a ghost's true love?","A ghoul friend.","Wordplay & Puns","draft"
32,"What do you call a lazy skeleton?","Lazy bones.","Wordplay & Puns","draft"
33,"What do you call a shoe made from a banana?","A slipper.","Wordplay & Puns","draft"
34,"What do you call two birds in love?","Tweethearts.","Wordplay & Puns","draft"
35,"What do you call a hilarious mountain?","Hill-arious.","Wordplay & Puns","draft"
36,"What word is always spelled wrong in the dictionary?","Wrong.","Wordplay & Puns","draft"
37,"Which letter of the alphabet has the most water?","The C (sea).","Wordplay & Puns","draft"
38,"Which letter is always asking questions?","Y (why).","Wordplay & Puns","draft"
39,"Which letter is a drink?","T (tea).","Wordplay & Puns","draft"
40,"Which letter is an insect?","B (bee).","Wordplay & Puns","draft"
41,"Which letter is a body part?","I (eye).","Wordplay & Puns","draft"
42,"Which letter is you?","U.","Wordplay & Puns","draft"
43,"Which letter is a vegetable?","P (pea).","Wordplay & Puns","draft"
44,"Which letter is a bird?","J (jay).","Wordplay & Puns","draft"
45,"Which two letters are always jealous?","N V (envy).","Wordplay & Puns","draft"
46,"Which letter is a female sheep?","U (ewe).","Wordplay & Puns","draft"
47,"What is in the middle of Paris?","The letter R.","Wordplay & Puns","draft"
48,"What is in the middle of water?","The letter T.","Wordplay & Puns","draft"
49,"What is in the middle of the sky?","The letter K.","Wordplay & Puns","draft"
50,"What is the center of gravity?","The letter V.","Wordplay & Puns","draft"
51,"What is at the end of a rainbow?","The letter W.","Wordplay & Puns","draft"
52,"What is in the middle of nowhere?","The letter H.","Wordplay & Puns","draft"
53,"What is the beginning of eternity and the end of time?","The letter E.","Wordplay & Puns","draft"
54,"What word reads the same upside down?","SWIMS.","Wordplay & Puns","draft"
55,"What word has kst in the middle, in the beginning, and at the end?","Inkstand.","Wordplay & Puns","draft"
56,"What starts with P, ends with E, and has a million letters in it?","The post office.","Wordplay & Puns","draft"
57,"Why is the letter A like a flower?","Because a B (bee) always follows it.","Wordplay & Puns","draft"
58,"Why is the letter T like an island?","Because it is in the middle of water.","Wordplay & Puns","draft"
59,"What two letters are bad for your teeth?","D K (decay).","Wordplay & Puns","draft"
60,"What comes once in a minute, twice in a moment, but never in a thousand years?","The letter M.","Wordplay & Puns","draft"
61,"What word has three consecutive double letters?","Bookkeeper.","Wordplay & Puns","draft"
62,"What common word contains all five vowels?","Education.","Wordplay & Puns","draft"
63,"Why is W the hardest letter to say?","It takes three syllables just to pronounce it.","Wordplay & Puns","draft"
64,"What did the little rock want to be when it grew up?","A little boulder.","Wordplay & Puns","draft"
65,"Why was the sand wet?","Because the sea weed.","Wordplay & Puns","draft"
66,"What do you call a laughing jar of mayonnaise?","LMAYO.","Wordplay & Puns","draft"
67,"Why did the tap refuse to work?","It was tapped out.","Wordplay & Puns","draft"
68,"Why was the elevator button so stressed?","People kept pushing it around.","Wordplay & Puns","draft"
69,"Why was the zipper nervous?","It felt like it was coming apart.","Wordplay & Puns","draft"
70,"Why did everyone trust the rope?","It always kept things together.","Wordplay & Puns","draft"
71,"Why did the chain feel connected?","It had great links.","Wordplay & Puns","draft"
72,"Why was the spring always happy?","It was full of bounce.","Wordplay & Puns","draft"
73,"Why was the recycling bin so optimistic?","It believed everything deserved a second chance.","Wordplay & Puns","draft"
74,"Why was the washing machine so melancholy?","It felt washed up.","Wordplay & Puns","draft"
75,"Why was the blender confused?","It felt completely mixed up.","Wordplay & Puns","draft"
76,"Why was the fridge so popular?","It was the coolest thing in the kitchen.","Wordplay & Puns","draft"
77,"Why was the new mattress so supportive?","It always had people's backs.","Wordplay & Puns","draft"
78,"Why was the sofa everyone's favorite?","It always had room for more.","Wordplay & Puns","draft"
79,"Why was the stool so humble?","It never stood on ceremony.","Wordplay & Puns","draft"
80,"Why was the lamp always invited to parties?","It really lit up the room.","Wordplay & Puns","draft"
