id	origLen	newLen	proposedQuestion	notes
93cbc457-83cb-4569-a482-3d38d89d8a01	407	211	A golden pocket watch vanished at the fair. Felix was reading, Ivy watering plants, Hugo baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Hugo). Theft scene shortened to "the fair" (decorative only). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
34c1f2d1-2f75-485c-ba8f-cd94fcc013f7	403	210	A lucky fishing rod vanished at the shed. Ruby was reading, Hugo watering plants, Oscar baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Oscar). Theft scene shortened to "the shed" (decorative only). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
0d919b29-47ac-44dd-914c-38ee5768ec91	403	210	A lucky fishing rod vanished at the shed. Oscar was reading, Felix watering plants, Ivy baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Ivy). Theft scene shortened to "the shed" (decorative only). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
4f64c3a8-24a3-4878-b1f8-3b2d8a8b74f8	396	214	A garden trophy vanished at the village fair. Ivy was watering plants, Felix baking bread, Oscar reading — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Felix). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
14fcdec3-37a4-4542-b47a-b08c1cec9593	393	213	A recipe book vanished at the library annex. Silas was baking bread, Nora reading, Ruby watering plants — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Silas). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
b540b5cb-faa8-41da-b03d-c3d3a6e6a231	392	212	A recipe book vanished at the garden shed. Felix was reading, Nora watering plants, Oscar baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Oscar). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
5580ccf6-d8ab-4fdc-859e-9821455a6c2d	392	203	A lucky fishing rod vanished at the library annex. Silas was reading, Felix watering plants, Nora baking bread — only one lied. The flowerbeds are bone dry, and the librarian knows who read. Who took it?	Same deduction: the bone-dry flowerbeds prove nobody watered, so the watering alibi is the lie (answer: Felix). Dropped the bread-smell clue (redundant: "only one lied" already closes the case). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
64fc2046-7401-4dd9-88f6-9734351f39a2	392	212	A recipe book vanished at the manor kitchen. Ruby was reading, Ivy watering plants, Silas baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Silas). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
a445a77b-e42c-4a50-ba51-5eedb73ba664	392	212	A recipe book vanished at the garden shed. Hugo was reading, Pearl watering plants, Felix baking bread — only one lied. The oven is cold, the flowerbeds freshly watered, the librarian knows who read. Who took it?	Same deduction: the cold oven proves nobody baked, so the baking alibi is the lie (answer: Felix). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
1ec2e889-e0e5-4958-9c0d-5e81fa7f5db9	392	212	A golden pocket watch vanished at the village fair. Ruby was reading, Ivy watering plants, Felix baking bread — only one lied. The reading room was closed all evening, the flowerbeds freshly watered. Who took it?	Same deduction: the reading room was closed all evening, so the reading-room alibi is the lie (answer: Ruby). Dropped the bread-smell clue (redundant: "only one lied" already closes the case). Tightened phrasing; every option stays plausible; "only one lied" kept as the uniqueness lock.
