ID,Setup,Punchline,Category,Status
1,Why did the football coach go to the bank?,To get his quarterback.,Sports Jokes,draft
2,Why did the baseball player get arrested?,Because he stole second base.,Sports Jokes,draft
3,Why did the soccer player bring string to the game?,So he could tie the score.,Sports Jokes,draft
4,Why was the basketball court so wet?,Because the players kept dribbling.,Sports Jokes,draft
5,Why do tennis players never get married?,Because love means nothing to them.,Sports Jokes,draft
6,Why did the bowling pins stop working?,They were on strike.,Sports Jokes,draft
7,Why did the hockey player open a bakery?,Because he was great at icing.,Sports Jokes,draft
8,Why was the volleyball player always invited to parties?,He knew how to serve.,Sports Jokes,draft
9,Why did the swimmer love pool parties?,He was always ready to make a splash.,Sports Jokes,draft
10,Why did the runner always win arguments?,He had the fastest comebacks.,Sports Jokes,draft
11,Why did the boxer take a nap before the match?,He wanted to hit the sack.,Sports Jokes,draft
12,Why did the football team go to the library?,To check out the running backs.,Sports Jokes,draft
13,Why did the baseball team hire a detective?,They wanted to catch the thief who kept stealing bases.,Sports Jokes,draft
14,Why did the pitcher go to the dentist?,He had a bad pitch... bite.,Sports Jokes,draft
15,Why was the soccer field so quiet?,Because every player kept a low goal... profile.,Sports Jokes,draft
16,Why did the golfer bring a pencil to the course?,To keep track of his strokes.,Sports Jokes,draft
17,Why did the tennis ball quit the team?,It was tired of being served.,Sports Jokes,draft
18,Why did the golf ball go to the doctor?,It had a slice problem.,Sports Jokes,draft
19,Why did the catcher bring a glove to dinner?,He heard there would be something to catch.,Sports Jokes,draft
20,Why did the referee get promoted?,He always made the right calls.,Sports Jokes,draft
21,Why did the soccer ball feel deflated?,It kept getting kicked around.,Sports Jokes,draft
22,Why did the basketball player go to the doctor?,He had too many hoops to jump through.,Sports Jokes,draft
23,Why did the tennis player get in trouble?,He was making too much racket.,Sports Jokes,draft
24,Why was the soccer team always calm?,They kept their goals in sight.,Sports Jokes,draft
25,Why did the football get invited to every party?,It knew how to get the ball rolling.,Sports Jokes,draft
26,Why was the baseball game so cool?,Because every fan brought a fan.,Sports Jokes,draft
27,Why was the baseball pitcher such a good musician?,He had perfect pitch.,Sports Jokes,draft
28,Why did the swimmer always win the race?,The other competitors were out of their depth.,Sports Jokes,draft
29,Why did the marathon runner never give up?,He refused to hit the wall.,Sports Jokes,draft
30,Why did the race car driver stay calm?,He kept things in pole position.,Sports Jokes,draft
31,Why was the surfboard always relaxed?,It went with the flow.,Sports Jokes,draft
32,Why did the gymnast love the trampoline?,It really lifted her spirits.,Sports Jokes,draft
33,Why did the archer bring extra arrows?,In case he missed the point.,Sports Jokes,draft
34,Why did the wrestlers always get invited back?,They really knew how to pin down a plan.,Sports Jokes,draft
35,Why did the chess player always win arguments?,He knew all the right moves.,Sports Jokes,draft
36,Why did the baseball team go to the bakery?,They needed a good batter.,Sports Jokes,draft
37,Why did the soccer player go to the art show?,To work on his draws.,Sports Jokes,draft
38,Why was the football stadium so windy?,Because of all the fans.,Sports Jokes,draft
39,Why did the basketball player always carry a pen?,In case he needed to draw a foul.,Sports Jokes,draft
40,Why do tennis doubles partners get along?,They always make a good match.,Sports Jokes,draft
41,Why was the hockey goalie so relaxed?,He knew how to stay cool under fire.,Sports Jokes,draft
42,Why did the swimmer always finish first?,He went to great lengths.,Sports Jokes,draft
43,Why did the relay team stay in touch?,They kept passing the baton.,Sports Jokes,draft
44,Why did the fisherman become a movie director?,He was great with reels.,Sports Jokes,draft
45,Why was the skateboarder so upbeat?,He was always on a roll.,Sports Jokes,draft
46,What did the ice skater say after the show?,That performance was ice-scream worthy.,Sports Jokes,draft
47,What did the skier say at the top of the mountain?,It is all downhill from here.,Sports Jokes,draft
48,What did the hockey puck say when it reached the net?,I finally made it.,Sports Jokes,draft
49,Why could Cinderella not play soccer?,She kept running away from the ball.,Sports Jokes,draft
50,Why did the baseball pitcher go camping?,He wanted to pitch a tent.,Sports Jokes,draft
51,Why did the baseball player shut down his website?,It was not getting enough hits.,Sports Jokes,draft
52,Why are spiders great at baseball?,They always catch flies.,Sports Jokes,draft
53,Why are baseball games played at night?,Because the bats sleep during the day.,Sports Jokes,draft
54,Why did the bowler love his job?,It was right up his alley.,Sports Jokes,draft
55,What is a golfer favorite letter?,Tee.,Sports Jokes,draft
56,Why was the golfer never lost on the course?,He always knew the fair way.,Sports Jokes,draft
57,What is a ghost favorite position in soccer?,Ghoul-keeper.,Sports Jokes,draft
58,Why do basketball players love cookies?,Because they can dunk them.,Sports Jokes,draft
