# Category: Math Numbers

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"1","Divide me by 4 and you get 10 with a remainder of 3. What am I?","43","47","40","42","A. 43","hard","Number Riddles","Multiply, then add the leftover.","4 x 10 + 3 = 43.","published"
"2","A film runs 3 hours and 40 minutes. How many minutes long is it in total?","220","7200","180","223","A. 220","easy","Age & Time Puzzles","Convert the hours first.","3 hours is 180 minutes, plus 40 = 220.","published"
"3","A farmyard has 3 chickens and 4 ducks. How many legs in total?","12","14","7","18","B. 14","easy","Counting Tricks","Both birds have two legs.","7 birds x 2 legs = 14.","published"
"4","A father is 43 and his child is 18. In how many years will the father be exactly twice as old?","6","7","18","9","B. 7","hard","Age & Time Puzzles","Try the gap between them.","In 7 years: 50 is double 25.","published"
"5","You have 4 five-dollar bills and 3 one-dollar coins. How much money in total?","23","28","7","12","A. 23","easy","Counting Tricks","Multiply, then add.","4 x 5 + 3 = 23.","published"
"6","A father is 46 and his child is 14. In how many years will the father be exactly twice as old?","20","17","18","14","C. 18","hard","Age & Time Puzzles","Try the gap between them.","In 18 years: 64 is double 32.","published"
"7","I am a number: double me and add 7, and you land on 57. What am I?","","","","","25","expert","Number Riddles","Work backwards from the total.","Subtract 7 to get 50, then halve: 25.","published"
"8","I am a number: double me and add 7, and you land on 37. What am I?","","","","","15","expert","Number Riddles","Work backwards from the total.","Subtract 7 to get 30, then halve: 15.","published"
"9","I am a number: double me and add 7, and you land on 59. What am I?","","","","","26","expert","Number Riddles","Work backwards from the total.","Subtract 7 to get 52, then halve: 26.","published"
"10","A printer prints one page every 2 seconds. How long to print 74 pages?","296 seconds","148 seconds","74 seconds","103","B. 148 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","74 x 2 = 148 seconds.","published"
"11","A father is 50 and his child is 20. In how many years will the father be exactly twice as old?","9","12","20","10","D. 10","hard","Age & Time Puzzles","Try the gap between them.","In 10 years: 60 is double 30.","published"
"12","I am a three-digit number. My hundreds digit is 4, my tens digit is 7, and my ones digit is 1. My digits add up to what?","","","","","12","expert","Number Riddles","Just add the three digits.","4 + 7 + 1 = 12.","published"
"13","Divide me by 5 and you get 11 with a remainder of 4. What am I?","59","58","64","55","A. 59","hard","Number Riddles","Multiply, then add the leftover.","5 x 11 + 4 = 59.","published"
"14","I am a number: double me and add 7, and you land on 75. What am I?","","","","","34","expert","Number Riddles","Work backwards from the total.","Subtract 7 to get 68, then halve: 34.","published"
"15","Divide me by 6 and you get 6 with a remainder of 4. What am I?","36","40","39","46","B. 40","hard","Number Riddles","Multiply, then add the leftover.","6 x 6 + 4 = 40.","published"
"16","A printer prints one page every 2 seconds. How long to print 73 pages?","146 seconds","73 seconds","292 seconds","103","A. 146 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","73 x 2 = 146 seconds.","published"
"17","Half of me is 30. What number am I?","30","60","120","62","B. 60","easy","Number Riddles","Double the clue.","Twice 30 is 60.","published"
"18","A carpenter saws a wooden plank 3 times, straight across. How many pieces does he end up with?","","","","","4","expert","Counting Tricks","Each cut adds one piece.","3 cuts make 4 pieces.","published"
"19","I am a three-digit number. My hundreds digit is 3, my tens digit is 1, and my ones digit is 9. My digits add up to what?","","","","","13","expert","Number Riddles","Just add the three digits.","3 + 1 + 9 = 13.","published"
