# Category: Detective & Mystery

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"1","The golden pocket watch went missing from the school fete. Ivy was seen jogging past the pond at noon, Hugo signed the guest book at the bakery at noon, and Oscar claims to have been asleep all day. The bakery receipt proves Hugo's alibi, and Ivy's muddy shoes match the pond path. Who took the watch?","","","","","Hugo","expert","Who Did It?","Follow the receipts and the mud.","Hugo had the bakery receipt, so Ivy's muddy alibi is the lie that hides the theft.","published"
"2","The code word TEKRAM is written backwards. What is the real word?","MARKE","MARKET","NBSLFU","MRKET","B. MARKET","hard","Code-Breaking","Read it from right to left.","TEKRAM reversed spells MARKET.","published"
"3","The prize-winning pie vanished from the harbor cafe. Footprints in the flowerbed match Pearl's boots, Silas was on the ferry with a ticket stub, and Felix has flour on both hands from the bake sale. Who took it?","","","","","Pearl","expert","Who Did It?","Whose story puts them right at the flowerbed?","The bootprints in the flowerbed match Pearl's boots.","published"
"4","At the harbor cafe, the lucky fishing rod vanished. Hugo says they were baking bread, Ivy insists they never left the reading room, and Silas claims they were watering plants. The reading room was closed for repairs all evening, the flowerbeds are freshly watered, and the kitchen still smells of fresh bread. Only one of them lied about being elsewhere — who took the lucky fishing rod?","Hugo","Ivy","Silas","an outside thief","B. Ivy","medium","Who Did It?","Check each alibi against the evidence.","Ivy's alibi matched the physical evidence; the others' stories failed.","published"
"5","The golden pocket watch went missing from the garden shed. Pearl was seen jogging past the pond at noon, Silas signed the guest book at the bakery at noon, and Hugo claims to have been asleep all day. The bakery receipt proves Silas's alibi, and Pearl's muddy shoes match the pond path. Who took the watch?","","","","","Silas","expert","Who Did It?","Follow the receipts and the mud.","Silas had the bakery receipt, so Pearl's muddy alibi is the lie that hides the theft.","published"
"6","A biscuit tin sits on the desk at the study beside two teacups: one empty, one full and cold. Only one chair is pulled out. What does the second teacup suggest?","The visitor left in a hurry","The room was empty","Two people shared the room","The tea was freshly made","C. Two people shared the room","medium","Crime Scene","Compare each detail against the timeline.","Two people shared the room.","published"
"7","Decode the Caesar cipher: PSBOHF (each letter was shifted forward by 1). What is the word?","ORANGE","QTCPIG","TRAIN","EGNARO","A. ORANGE","easy","Code-Breaking","Shift each letter BACK by 1.","Shifting each letter back 1 spells ORANGE.","published"
"8","Decode the Caesar cipher: UOKNG (each letter was shifted forward by 2). What is the word?","ELIMS","SMILE","VPLOH","TNJMF","B. SMILE","medium","Code-Breaking","Shift each letter BACK by 2.","Shifting each letter back 2 spells SMILE.","published"
"9","A detective studies the study: a tipped cardboard box, a wet umbrella by the door, and mud tracks leading OUT. Whoever left arrived before the rain started. Which detail proves the visit began in dry weather?","The umbrella proves heavy rain","The tipped object proves a struggle","The mud proves rain during the visit","The mud tracks show the visit began in dry weather","D. The mud tracks show the visit began in dry weather","hard","Crime Scene","Compare each detail against the timeline.","The mud tracks show the visit began in dry weather.","published"
"10","At the boathouse, the detective finds a cold picnic basket, a stopped desk fan, and a diary whose last entry is at 3 PM. The power was cut at 2 PM. What does the diary's final entry time prove?","The diary was borrowed","The entries stopped when the power failed","The fan was very old","The desk was used at night","B. The entries stopped when the power failed","medium","Crime Scene","Compare each detail against the timeline.","The entries stopped when the power failed.","published"
