# Category: Funny Riddles

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"1","What do you call a cold dog?","A pup-sicle","A chili dog","A frosty hound","An ice poodle","B. A chili dog","easy","Pun Riddles","Think about a popular snack.","A chilly pooch is a chili dog, straight off the fairground menu.","published"
"2","What is a frog's favorite fizzy drink?","Croak-a-cola","Pond water","Lime ribbit","Hoptail soda","A. Croak-a-cola","easy","Pun Riddles","It sounds like a famous brand, but jumpier.","Croak-a-cola is the only drink brewed for a throat like that.","published"
"3","Why did the drum go to bed early?","He lost his drumsticks","He was beat","The band left without him","The touring was too rolling","B. He was beat","easy","Pun Riddles","One word, two meanings, zero energy.","Being beat means tired, and the drum had certainly been struck enough.","published"
"4","What do you call a bear caught in a downpour?","A soaked cub","A drizzly bear","A polar splash","A damp panda","B. A drizzly bear","easy","Pun Riddles","Say the answer out loud, slowly.","A rain-soaked grizzly is a drizzly bear, and the forecast agrees.","published"
"5","Why did the tree book an appointment at the dentist?","It needed a root canal","It chipped a branch","Its gums were sappy","It lost some sap fillings","A. It needed a root canal","easy","Pun Riddles","The trouble was below the bark.","Trees have roots, and even trees fear the drill.","published"
"6","What did the lettuce say to calm the panicking celery?","Romaine calm","Peas stop shouting","Turnip the volume down","Lettuce be honest","A. Romaine calm","easy","Pun Riddles","One salad is famous for staying cool.","Romaine literally means remain, and calm was urgently required.","published"
"7","What do you call a ghost's sweetheart?","A boo-tiful date","A ghoul-friend","A spirit partner","A phantom flame","B. A ghoul-friend","easy","Pun Riddles","The relationship is dead serious.","A ghost dating a ghost has found a ghoul-friend.","published"
"8","Why couldn't the pony sing the lullaby?","The barn was full","He was a little horse","He forgot the lyrics","His mane was tangled","B. He was a little horse","easy","Pun Riddles","His voice was tiny and hoarse.","A hoarse little pony is, quite literally, a little horse.","published"
"9","What do you call a duck with a criminal record?","A robber duck","A mallard thief","A quack-in-the-box","A plucky bandit","A. A robber duck","easy","Pun Riddles","Think Batman's favorite hobby.","A thieving duck is a robber duck, and the pond is not amused.","published"
"10","What do you call a dog that performs magic?","A labracadabrador","A houndini","A wizard retriever","A magic mutt","A. A labracadabrador","easy","Pun Riddles","The breed does the trick.","The labrador who says abracadabra is a labracadabrador.","published"
