ID,Setup,Punchline,Category,Status
1,"I used to think I was indecisive, but now I am not so sure.","","One-Liners","draft"
2,"I told my wife she was drawing her eyebrows too high. She looked surprised.","","One-Liners","draft"
3,"I stayed up all night wondering where the sun went. Then it dawned on me.","","One-Liners","draft"
4,"I know they say that money talks, but all mine says is goodbye.","","One-Liners","draft"
5,"I am on a seafood diet. I see food and I eat it.","","One-Liners","draft"
6,"I was wondering why the frisbee kept getting bigger. Then it hit me.","","One-Liners","draft"
7,"I asked the librarian if the library had books on paranoia. She whispered, they are right behind you.","","One-Liners","draft"
8,"I have a phobia of speed bumps, but I am slowly getting over it.","","One-Liners","draft"
9,"I used to play piano by ear, but now I use my hands.","","One-Liners","draft"
10,"The past, the present, and the future walked into a bar. It was tense.","","One-Liners","draft"
11,"I am terrified of elevators, so I am taking steps to avoid them.","","One-Liners","draft"
12,"I did not like my beard at first. Then it grew on me.","","One-Liners","draft"
13,"A backwards poet writes inverse.","","One-Liners","draft"
14,"I got a new pair of gloves today, but they are both lefts. On the one hand, it is great, on the other hand, it is not.","","One-Liners","draft"
15,"I had a joke about time travel, but you did not like it.","","One-Liners","draft"
16,"The rotation of the earth really makes my day.","","One-Liners","draft"
17,"I used to hate math, but then I realized decimals have a point.","","One-Liners","draft"
18,"I would tell you a chemistry joke, but I know I would not get a reaction.","","One-Liners","draft"
19,"I told my doctor I broke my arm in two places. He told me to stop going to those places.","","One-Liners","draft"
20,"Velcro is such a rip-off.","","One-Liners","draft"
21,"I only know 25 letters of the alphabet. I do not know y.","","One-Liners","draft"
22,"I did not think orthopedic shoes would help, but I stand corrected.","","One-Liners","draft"
23,"Apparently you cannot use beef stew as a password. It is not stroganoff.","","One-Liners","draft"
24,"My wife told me to stop impersonating a flamingo. I had to put my foot down.","","One-Liners","draft"
25,"I used to be a banker, but I lost interest.","","One-Liners","draft"
26,"The shovel was a ground-breaking invention.","","One-Liners","draft"
27,"Becoming a vegetarian is a big missed steak.","","One-Liners","draft"
28,"I used to work at a blanket factory, but it folded.","","One-Liners","draft"
29,"A book fell on my head. I can only blame my shelf.","","One-Liners","draft"
30,"I named my dog Five Miles, so I can tell people I walk Five Miles every day.","","One-Liners","draft"
31,"Bakers trade recipes on a knead to know basis.","","One-Liners","draft"
32,"A plateau is the highest form of flattery.","","One-Liners","draft"
33,"When a clock is hungry it goes back four seconds.","","One-Liners","draft"
34,"I thought about going on an all almond diet, but that is just nuts.","","One-Liners","draft"
35,"Claustrophobic people are more productive thinking outside the box.","","One-Liners","draft"
36,"Two windmills stood in a field. One asked the other what kind of music it liked. The other said, I am a big metal fan.","","One-Liners","draft"
37,"Whiteboards are remarkable.","","One-Liners","draft"
38,"Dogs cannot operate MRI machines, but catscan.","","One-Liners","draft"
39,"I dropped out of my origami class. It was too much paper work.","","One-Liners","draft"
40,"I ate a clock yesterday. It was very time consuming.","","One-Liners","draft"
41,"I had a dream that I was a muffler. I woke up exhausted.","","One-Liners","draft"
