ID,Setup,Punchline,Category,Status
1,"Why do cows wear bells?","Because their horns do not work.","Animal Jokes","draft"
2,"What do you call a cow with no legs?","Ground beef.","Animal Jokes","draft"
3,"What did the duck say when it bought lipstick?","Put it on my bill.","Animal Jokes","draft"
4,"What do you call a sleeping dinosaur?","A dino-snore.","Animal Jokes","draft"
5,"What do you call a dinosaur crash?","Tyrannosaurus wrecks.","Animal Jokes","draft"
6,"What do you call a cow that just had a calf?","Decaf-inated.","Animal Jokes","draft"
7,"Why do bees have sticky hair?","Because they use honeycombs.","Animal Jokes","draft"
8,"What do you call a pig that does karate?","A pork chop.","Animal Jokes","draft"
9,"What do you call a fish that practices medicine?","A sturgeon.","Animal Jokes","draft"
10,"What do you call an alligator in a vest?","An investigator.","Animal Jokes","draft"
11,"What do you call a horse that lives next door?","A neigh-bor.","Animal Jokes","draft"
12,"Why was the pony so quiet?","Because it was a little hoarse.","Animal Jokes","draft"
13,"Why did the cowboy adopt a dachshund?","He wanted to get a long little doggy.","Animal Jokes","draft"
14,"What do you call a dog that does magic tricks?","A labracadabrador.","Animal Jokes","draft"
15,"Why did the cat sit on the computer?","To keep an eye on the mouse.","Animal Jokes","draft"
16,"What do you call a pile of kittens?","A meowntain.","Animal Jokes","draft"
17,"Why are cats bad storytellers?","Because they only have one tail.","Animal Jokes","draft"
18,"What do you call a sheep with no legs?","A cloud.","Animal Jokes","draft"
19,"Why do seagulls fly over the sea?","Because if they flew over the bay, they would be bagels.","Animal Jokes","draft"
20,"What kind of bird does not need a comb?","A bald eagle.","Animal Jokes","draft"
21,"Why did the pelican get kicked out of the restaurant?","Because he had a very big bill.","Animal Jokes","draft"
22,"What do you call a duck that gets straight A grades?","A wise quacker.","Animal Jokes","draft"
23,"Why did the turkey join the band?","Because he had the drumsticks.","Animal Jokes","draft"
24,"What do you get when a chicken lays an egg on top of a barn?","An eggroll.","Animal Jokes","draft"
25,"What do you get when you cross a snowman and a vampire?","Frostbite.","Animal Jokes","draft"
26,"What do you get when you cross a fish and an elephant?","Swimming trunks.","Animal Jokes","draft"
27,"What do you get when you cross a sheep and a kangaroo?","A woolly jumper.","Animal Jokes","draft"
28,"What do you call a rabbit with fleas?","Bugs Bunny.","Animal Jokes","draft"
29,"How do rabbits stay cool in the summer?","They have hare conditioning.","Animal Jokes","draft"
30,"What do you call a bear with no teeth?","A gummy bear.","Animal Jokes","draft"
31,"What do you call a lazy kangaroo?","A pouch potato.","Animal Jokes","draft"
32,"Why are elephants afraid of computers?","Because of the mouse.","Animal Jokes","draft"
33,"What do you call a deer with no eyes?","No eye-deer.","Animal Jokes","draft"
34,"What do you call a deer with no eyes and no legs?","Still no eye-deer.","Animal Jokes","draft"
35,"How do you stop a skunk from smelling?","Hold its nose.","Animal Jokes","draft"
36,"How do you make an octopus laugh?","With ten-tickles.","Animal Jokes","draft"
37,"Why did the crab never share?","Because he was shellfish.","Animal Jokes","draft"
38,"What do you call a fly without wings?","A walk.","Animal Jokes","draft"
39,"What do you call a cow with only two legs?","Lean beef.","Animal Jokes","draft"
40,"What do you call a chicken looking at a bowl of lettuce?","Chicken caesar salad.","Animal Jokes","draft"
41,"What kind of bird can lift the most weight?","A crane.","Animal Jokes","draft"
42,"Why did the cow cross the road?","To get to the udder side.","Animal Jokes","draft"
43,"Why are frogs so happy?","Because they eat whatever bugs them.","Animal Jokes","draft"
44,"What is a snake favorite subject in school?","Hiss-tory.","Animal Jokes","draft"
45,"What is a cat favorite color?","Purr-ple.","Animal Jokes","draft"
46,"What is a dog favorite city?","New Yorkie.","Animal Jokes","draft"
47,"What is the biggest kind of ant?","An eleph-ant.","Animal Jokes","draft"
48,"What do you call a bee that can not make up its mind?","A maybee.","Animal Jokes","draft"
49,"What kind of key opens a banana?","A mon-key.","Animal Jokes","draft"
50,"Why did the cow go to outer space?","To visit the moooon.","Animal Jokes","draft"
51,"What do you call a dinosaur with a big vocabulary?","A thesaurus.","Animal Jokes","draft"
52,"Why did the lion lose at cards?","Because he was playing with a cheetah.","Animal Jokes","draft"
53,"What do you call a dinosaur that cannot see?","A do-you-think-he-saurus.","Animal Jokes","draft"
54,"What do you call a cow that lives in Alaska?","An eskimoo.","Animal Jokes","draft"
55,"What do you call a sheep that does karate?","A lamb chop.","Animal Jokes","draft"
56,"What do you call a rooster that wakes you up every morning?","An alarm cluck.","Animal Jokes","draft"
57,"What did the llama say when something went wrong?","No prob-llama.","Animal Jokes","draft"
58,"Why did the llama wear a fancy outfit?","It did not want any llama drama.","Animal Jokes","draft"
59,"What do you call a fish with two knees?","A two-knee fish.","Animal Jokes","draft"
60,"Why was the ferret so good at hide and seek?","It was always ferreting around.","Animal Jokes","draft"
61,"Why did the parrot repeat the same word all day?","It was practicing for its talk show.","Animal Jokes","draft"
62,"What did the fish say when it swam into a wall?","Dam.","Animal Jokes","draft"
63,"Why did the fish blush?","Because it saw the ocean bottom.","Animal Jokes","draft"
64,"Why did the whale cross the road?","To get to the other tide.","Animal Jokes","draft"
65,"What do you call a cow during an earthquake?","A milkshake.","Animal Jokes","draft"
66,"Why did the parrot get a timeout?","It kept repeating itself.","Animal Jokes","draft"
67,"Why did the octopus beat the shark in a fight?","Because it was well-armed.","Animal Jokes","draft"
68,"What did the peacock say when it got dressed up?","I am ready to show my true colors.","Animal Jokes","draft"
69,"Why did the pig stop sunbathing?","Because it was already bacon.","Animal Jokes","draft"
70,"What did the goose say when it got a compliment?","Honk you very much.","Animal Jokes","draft"
71,"What is a horse favorite sport?","Stable tennis.","Animal Jokes","draft"
72,"What did the chick say when it hatched?","I am egg-cited to be here.","Animal Jokes","draft"
73,"What did the penguin say at the comedy show?","That joke was ice-cold.","Animal Jokes","draft"
74,"What did the toucan say when its friend got a joke first?","Toucan play at that game.","Animal Jokes","draft"
75,"What did the dog say when it sat on sandpaper?","Ruff.","Animal Jokes","draft"
76,"What did the sheep say after its haircut?","I feel shear delight.","Animal Jokes","draft"
77,"Why did the fish get bad grades?","Because it was below sea level.","Animal Jokes","draft"
78,"Why did the dolphin get promoted?","It was fin-tastic at its job.","Animal Jokes","draft"
79,"What did the starfish say at the talent show?","I give a five-star performance.","Animal Jokes","draft"
80,"Why was the jellyfish so easygoing?","It had no bones about anything.","Animal Jokes","draft"
81,"What did the seahorse say when it was late?","Sorry, I got caught in the current.","Animal Jokes","draft"
82,"Why did the electric eel get a big bonus?","It was a real live wire.","Animal Jokes","draft"
83,"What do you call a frog parked outside the line?","Toad.","Animal Jokes","draft"
84,"Why did the shark get in trouble at school?","It kept fin-ishing other students work.","Animal Jokes","draft"
85,"Why did the turtle cross the road?","To get to the shell station.","Animal Jokes","draft"
86,"Why did the tortoise start a business?","It wanted to come out of its shell.","Animal Jokes","draft"
87,"What did the snail say when it hitched a ride on a turtle?","Whee, this is the fast lane.","Animal Jokes","draft"
88,"What do you call a sheep covered in chocolate?","A candy baa.","Animal Jokes","draft"
89,"What did the frog order at the restaurant?","Anything with flies, it is on a strict bug-et.","Animal Jokes","draft"
90,"What do you call a bird shivering in the winter?","A brrr-d.","Animal Jokes","draft"
91,"Why does a flamingo lift only one leg?","Because if it lifted both, it would fall over.","Animal Jokes","draft"
92,"Why was the chameleon bad at hide and seek?","It blended in so well it forgot where it was.","Animal Jokes","draft"
93,"Why do hummingbirds hum?","Because they forgot the words.","Animal Jokes","draft"
94,"What did the bat say when it got stuck upside down?","This is a real hang-up.","Animal Jokes","draft"
95,"Why did the monkey like the banana?","Because it found it a-peeling.","Animal Jokes","draft"
96,"What did the owl say on its birthday?","Whooo-hooo.","Animal Jokes","draft"
97,"What did the woodpecker say to the tree?","Knock knock, it is me again.","Animal Jokes","draft"
98,"Why did the squirrel bury its phone?","To save its contacts for later.","Animal Jokes","draft"
99,"What did the beaver say when it finished the dam?","Wooden you know it, I am done.","Animal Jokes","draft"
100,"What did the otter say when it told a joke?","I am having an otter-ly good time.","Animal Jokes","draft"
