ID,Setup,Punchline,Category,Status
1,"Why did the cookie go to the hospital?","Because it was feeling crummy.","Classic Dad Jokes","draft"
2,"What do you call a sleeping bull?","A bulldozer.","Classic Dad Jokes","draft"
3,"Why did the man put his money in the freezer?","He wanted cold hard cash.","Classic Dad Jokes","draft"
4,"What do you call a boomerang that does not come back?","A stick.","Classic Dad Jokes","draft"
5,"Why did the picture go to jail?","Because it was framed.","Classic Dad Jokes","draft"
6,"Why did the espresso file a police report?","It got mugged.","Classic Dad Jokes","draft"
7,"What do you call a factory that makes okay products?","A satisfactory.","Classic Dad Jokes","draft"
8,"What did the janitor say when he jumped out of the closet?","Supplies!","Classic Dad Jokes","draft"
9,"What did the blanket say as it fell off the bed?","Oh sheet.","Classic Dad Jokes","draft"
10,"Why did the pillow go to the doctor?","It was feeling down.","Classic Dad Jokes","draft"
11,"What did one sock say to the other in the dryer?","I will see you the next time around.","Classic Dad Jokes","draft"
12,"Why did the belt get arrested?","For holding up a pair of pants.","Classic Dad Jokes","draft"
13,"Why did the shoe go to the doctor?","Because it needed to be heeled.","Classic Dad Jokes","draft"
14,"Why did the umbrella go to the doctor?","It was feeling a little under the weather.","Classic Dad Jokes","draft"
15,"What did one wall say to the other?","Meet you at the corner.","Classic Dad Jokes","draft"
16,"Why did the broom go to bed?","Because it was sweepy.","Classic Dad Jokes","draft"
17,"Why did the watch go on vacation?","It needed to unwind.","Classic Dad Jokes","draft"
18,"What did the digital clock say to its mother?","Look mom, no hands!","Classic Dad Jokes","draft"
19,"Why did the house go to the doctor?","It had window pains.","Classic Dad Jokes","draft"
20,"Why did the smartphone need glasses?","It lost all its contacts.","Classic Dad Jokes","draft"
21,"Why did the king go to the dentist?","To get his teeth crowned.","Classic Dad Jokes","draft"
22,"Why did the barber win the race?","He knew a shortcut.","Classic Dad Jokes","draft"
23,"What did the left eye say to the right eye?","Between you and me, something smells.","Classic Dad Jokes","draft"
24,"What did one hat say to the other?","You stay here, I will go on ahead.","Classic Dad Jokes","draft"
25,"What did the tie say to the hat?","You go on ahead, I will hang around.","Classic Dad Jokes","draft"
26,"Why do chicken coops only have two doors?","Because if they had four, they would be chicken sedans.","Classic Dad Jokes","draft"
27,"Why do ghosts like to ride elevators?","Because it lifts their spirits.","Classic Dad Jokes","draft"
28,"Why are ghosts bad liars?","Because you can see right through them.","Classic Dad Jokes","draft"
29,"Why did the vampire flunk art class?","Because he could only draw blood.","Classic Dad Jokes","draft"
30,"Why did the vampire need mouthwash?","Because he had bat breath.","Classic Dad Jokes","draft"
31,"Why did the skeleton go to the party alone?","Because he had no body to go with.","Classic Dad Jokes","draft"
32,"Why do not skeletons fight each other?","They do not have the guts.","Classic Dad Jokes","draft"
33,"What did the traffic light say to the car?","Do not look, I am changing.","Classic Dad Jokes","draft"
34,"Why did the car get a flat tire?","Because there was a fork in the road.","Classic Dad Jokes","draft"
35,"Why did the airplane get sent to its room?","For having a bad altitude.","Classic Dad Jokes","draft"
