# Category: Brain Teasers

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"1","I am carried everywhere you go, yet I was given to you before you left home.","Your phone","Your name","Your shoes","Your shadow","B. Your name","easy","Classic Riddles","You received me the day you were born.","Your name stays with you everywhere, assigned before you ever left the house.","published"
"2","I have a top but no bottom, spin without moving, and always know where north is.","A telescope","A magnet","A weathervane","A compass","D. A compass","easy","Classic Riddles","Hikers never leave without me.","A compass spins freely and settles pointing north, guiding every hiker home.","published"
"3","I hold the heat of the sun all afternoon and lend it to your shoulders all night.","A blanket","A park bench","A hot water bottle","A brick","A. A blanket","easy","Classic Riddles","Pull me over yourself at bedtime.","A blanket sunning on the line keeps its warmth and lends it back at night.","published"
"4","I am swept every day and dirty again by dinner, and I welcome everyone.","The doormat","The carpet","The porch","The hallway","A. The doormat","easy","Classic Riddles","Wipe your feet on me.","A doormat greets every guest, takes the dirt, and is beaten clean by evening.","published"
"5","I am full of other people's business, delivered daily to your door.","The newspaper","The mail","The gossip","The parcel","A. The newspaper","easy","Classic Riddles","Printed in ink, thrown from a bike.","The newspaper carries the whole town's business and lands on the doorstep each morning.","published"
"6","I stand quietly in the hallway holding coats I will never wear.","A wardrobe","A mirror","A coat rack","A shelf","C. A coat rack","easy","Classic Riddles","Hooks and a stand, near the door.","A coat rack holds the whole household's coats without ever wearing one.","published"
"7","I get shorter every winter and longer every summer, and children count on me.","A shadow","A garden","A scarf","Daylight","D. Daylight","easy","Classic Riddles","Watch the sky, not the clock.","Daylight hours shorten through winter and stretch again into summer.","published"
"8","I am pulled up in the morning and let down at night, and I keep the sun out.","A ladder","A flag","A gate","A blind","D. A blind","easy","Classic Riddles","It hangs at the window.","A window blind is raised at dawn and drawn at dusk to shut out the sun.","published"
"9","I am twisted tight, snapped in two, and children cheer when I break.","A wishbone","A cracker","A pencil","A stick","B. A cracker","easy","Classic Riddles","Pull both ends at Christmas dinner.","A Christmas cracker snaps apart with a pop and a paper crown inside.","published"
"10","I wait by the door all day, carry your world on my back, and never ask where we are going.","A handbag","A suitcase","A backpack","A coat","C. A backpack","easy","Classic Riddles","Students wear me on both shoulders.","A backpack waits by the door and carries books, lunch, and everything else.","published"
"11","I am round, I am thrown, and the whole game depends on me coming back.","A frisbee","A stone","A ball","A boomerang","D. A boomerang","easy","Classic Riddles","Invented in Australia, thrown in parks.","A boomerang is thrown away and arcs back to the thrower's hand.","published"
"12","I am the smell of Sunday morning and the reason the kitchen is warm.","Coffee","Toast","Bread baking","Bacon","C. Bread baking","easy","Classic Riddles","It rises in the oven.","Bread baking fills the house with warmth and the smell of a slow Sunday.","published"
"13","I have a bed but never sleep, and water runs through me all day.","A river","A garden","A hospital","A sponge","A. A river","medium","Classic Riddles","Follow me to the sea.","A river carries water day and night over the bed it never sleeps in.","published"
"14","I am always running but never move from my spot, and I am gone when the tap turns off.","The drain","The electricity","The pipe","The bathwater","D. The bathwater","medium","Classic Riddles","Fill the tub and I appear.","Bathwater runs endlessly in place, and vanishes the moment the tap is closed.","published"
"15","I am written every day, erased by midnight, and rewritten at dawn.","The date","A to-do list","A diary","A letter","A. The date","medium","Classic Riddles","Tear me off each morning.","The calendar date is crossed off each night and born again every morning.","published"
"16","I grow in the telling and shrink in the retelling, and everyone swears their version is true.","A diary","A joke","A dream","A rumor","D. A rumor","medium","Classic Riddles","Pass it on and see.","A rumor grows taller with each telling and no two versions ever match.","published"
"17","I am the only visitor that arrives uninvited, stays too long, and leaves when you stop feeding it.","An argument","A cold","A fly","A habit","A. An argument","medium","Classic Riddles","Stop answering and it starves.","An argument is kept alive by responses and dies the moment both sides go quiet.","published"
