# Subject: Nature

ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Level,Chapter
1,The human heart pumps blood around the body.,True,False,,,A,easy,Human Body & Biology
2,Water covers most of the Earth's surface.,False,True,,,B,easy,Earth & Weather
3,Penguins can fly.,False,True,,,A,easy,Plants & Animals
4,Blood is blue inside the human body.,True,False,,,B,easy,Human Body & Biology
5,Lightning never strikes the same place twice.,False,True,,,A,easy,Earth & Weather
6,Fish breathe underwater using gills.,False,True,,,B,easy,Plants & Animals
7,Babies are born with more bones than adults.,False,True,,,B,easy,Human Body & Biology
8,Deserts are always hot places.,False,True,,,A,easy,Earth & Weather
9,A baby frog is called a tadpole.,True,False,,,A,easy,Plants & Animals
10,The adult human body has 500 bones.,False,True,,,A,easy,Human Body & Biology
11,The Pacific Ocean is the largest ocean on Earth.,False,True,,,B,easy,Earth & Weather
12,Spiders are insects.,False,True,,,A,easy,Plants & Animals
13,Humans can survive for months without drinking water.,False,True,,,A,easy,Human Body & Biology
14,Earth has more land surface than ocean.,False,True,,,A,easy,Earth & Weather
15,Whales are mammals.,False,True,,,B,easy,Plants & Animals
16,Red blood cells carry oxygen.,False,True,,,B,easy,Human Body & Biology
17,Antarctica is the coldest continent.,True,False,,,A,easy,Earth & Weather
18,Sharks are mammals.,True,False,,,B,easy,Plants & Animals
19,White blood cells help the body fight infection.,True,False,,,A,easy,Human Body & Biology
20,Fog is a cloud made of smoke.,True,False,,,B,easy,Earth & Weather
21,Butterflies begin life as caterpillars.,True,False,,,A,easy,Plants & Animals
22,Sweating helps cool the human body.,True,False,,,A,easy,Human Body & Biology
23,The Amazon rainforest is in Africa.,False,True,,,A,easy,Earth & Weather
24,Cactus plants store water in their stems.,True,False,,,A,easy,Plants & Animals
25,The heart is the largest bone in the human body.,True,False,,,B,easy,Human Body & Biology
26,Glaciers are made of ice.,False,True,,,B,easy,Earth & Weather
27,Snakes have four legs.,True,False,,,B,easy,Plants & Animals
28,The lungs pump blood through the body.,True,False,,,B,easy,Human Body & Biology
29,Earthquakes never happen under the sea.,True,False,,,B,easy,Earth & Weather
30,Dolphins breathe air using lungs.,False,True,,,B,easy,Plants & Animals
31,Genes are passed from parents to their children.,True,False,,,A,easy,Human Body & Biology
32,Underwater earthquakes can cause tsunamis.,True,False,,,A,easy,Earth & Weather
33,Bats are completely blind.,False,True,,,A,easy,Plants & Animals
34,The appendix is the largest human organ.,False,True,,,A,easy,Human Body & Biology
35,Wind is caused by the movement of clouds.,False,True,,,A,easy,Earth & Weather
36,Worms help enrich garden soil.,False,True,,,B,easy,Plants & Animals
37,The body makes vitamin D from sunlight.,False,True,,,B,easy,Human Body & Biology
38,Snow is made of tiny grains of sand.,True,False,,,B,easy,Earth & Weather
39,Ladybugs are a type of beetle.,False,True,,,B,easy,Plants & Animals
40,Hair and nails keep growing after a person dies.,False,True,,,A,easy,Human Body & Biology
41,Mount Everest is the tallest mountain above sea level.,False,True,,,B,easy,Earth & Weather
42,Bats lay eggs.,False,True,,,A,easy,Plants & Animals
43,Toenails grow faster than fingernails.,True,False,,,B,easy,Human Body & Biology
44,Thunder usually arrives before the lightning that causes it.,False,True,,,A,easy,Earth & Weather
45,Kangaroos carry their young in a pouch.,False,True,,,B,easy,Plants & Animals
46,The immune system protects the body from germs.,False,True,,,B,easy,Human Body & Biology
47,Rainbows form when sunlight shines through raindrops.,True,False,,,A,easy,Earth & Weather
48,Owls hunt only during the day.,False,True,,,A,easy,Plants & Animals
49,The human brain stops working during sleep.,False,True,,,A,easy,Human Body & Biology
50,Volcanoes erupt with cold ice.,True,False,,,B,easy,Earth & Weather
51,Bees collect nectar to make honey.,True,False,,,A,easy,Plants & Animals
52,The liver helps filter the blood.,False,True,,,B,easy,Human Body & Biology
53,Hailstones are made of hot ash.,True,False,,,B,easy,Earth & Weather
54,A spider has eight legs.,False,True,,,B,easy,Plants & Animals
55,Humans have two stomachs.,False,True,,,A,easy,Human Body & Biology
56,Weather happens in the atmosphere.,True,False,,,A,easy,Earth & Weather
57,All birds can fly.,False,True,,,A,easy,Plants & Animals
58,The trachea is also called the windpipe.,True,False,,,A,easy,Human Body & Biology
59,The Richter scale measures rainfall.,True,False,,,B,easy,Earth & Weather
60,Great white sharks are fish.,False,True,,,B,easy,Plants & Animals
61,An adult human has 32 teeth including wisdom teeth.,False,True,,,B,easy,Human Body & Biology
62,Tsunamis are giant waves caused by wind.,False,True,,,A,easy,Earth & Weather
63,A camel stores fat in its hump.,True,False,,,A,easy,Plants & Animals
64,Arteries carry blood toward the heart.,True,False,,,B,easy,Human Body & Biology
65,Rivers flow uphill.,True,False,,,B,easy,Earth & Weather
66,Polar bears live in the Arctic region.,False,True,,,B,easy,Plants & Animals
67,Broken bones can heal over time.,True,False,,,A,easy,Human Body & Biology
68,The Great Barrier Reef is in the Atlantic Ocean.,True,False,,,B,easy,Earth & Weather
69,Owls can turn their heads almost all the way around.,False,True,,,B,easy,Plants & Animals
70,The human body contains no bacteria.,True,False,,,B,easy,Human Body & Biology
71,Fossils are the preserved remains of ancient life.,True,False,,,A,easy,Earth & Weather
