# Category: Logic & Deduction
"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"1","Elena says: Grace always lies. Grace says: Elena always lies. Exactly one of them is a liar by nature. Who tells the truth?","","","","","Elena","expert","Logic Puzzles","Assume one lies and test both cases.","They contradict each other, so exactly one lies — and it must be Grace, making Elena the truth-teller.","published"
"2","Grace says: Elena always lies. Elena says: Grace always lies. Exactly one of them is a liar by nature. Who tells the truth?","","","","","Grace","expert","Logic Puzzles","Assume one lies and test both cases.","They contradict each other, so exactly one lies — and it must be Elena, making Grace the truth-teller.","published"
"3","Grace says: Isla always lies. Isla says: Grace always lies. Exactly one of them is a liar by nature. Who tells the truth?","","","","","Grace","expert","Logic Puzzles","Assume one lies and test both cases.","They contradict each other, so exactly one lies — and it must be Isla, making Grace the truth-teller.","published"
"4","Jonas is shorter than Anna.  Anna is shorter than David.  David is shorter than Felix. Who is the tallest?","Felix","Jonas","Anna","David","A. Felix","medium","Logic Puzzles","Line the comparisons up in a chain.","Ordering from shorter to greatest: Jonas < Anna < David < Felix. So Felix is the tallest.","published"
"5","Anna is slower than Henry. Isla is slower than Anna. Jonas is between Anna and Henry in speed. Who is the fastest?","","","","","Henry","expert","Logic Puzzles","Sketch the order, then slot in the middle one.","From the clues: Isla < Anna < Jonas < Henry (with Jonas in the middle). So Henry is fastest.","published"
"6","Isla is younger than Clara.  Clara is younger than Felix.  Felix is younger than Grace. Who is the oldest?","Clara","Grace","Felix","Isla","B. Grace","medium","Logic Puzzles","Line the comparisons up in a chain.","Ordering from younger to greatest: Isla < Clara < Felix < Grace. So Grace is the oldest.","published"
"7","Elena does not live in the green house or the red house. Isla lives in the red house. Where does Elena live?","Next to Isla","the green house","the blue house","the red house","C. the blue house","medium","Logic Puzzles","Eliminate the impossible houses.","Elena cannot live in the green house or the red house, so Elena lives in the blue house.","published"
"8","Isla is shorter than Felix. Henry is shorter than Isla. Jonas is between Isla and Felix in height. Who is the tallest?","","","","","Felix","expert","Logic Puzzles","Sketch the order, then slot in the middle one.","From the clues: Henry < Isla < Jonas < Felix (with Jonas in the middle). So Felix is tallest.","published"
"9","Clara is younger than Jonas.  Jonas is younger than Elena.  Elena is younger than Ben. Who is the oldest?","Ben","Elena","Jonas","Clara","A. Ben","easy","Logic Puzzles","Line the comparisons up in a chain.","Ordering from younger to greatest: Clara < Jonas < Elena < Ben. So Ben is the oldest.","published"
"10","Grace does not live in the blue house or the green house. Ben lives in the green house. Where does Grace live?","the red house","the green house","the blue house","Next to Ben","A. the red house","medium","Logic Puzzles","Eliminate the impossible houses.","Grace cannot live in the blue house or the green house, so Grace lives in the red house.","published"
"11","Henry is shorter than Clara.  Clara is shorter than Jonas.  Jonas is shorter than Ben. Who is the tallest?","Henry","Ben","Clara","Jonas","B. Ben","easy","Logic Puzzles","Line the comparisons up in a chain.","Ordering from shorter to greatest: Henry < Clara < Jonas < Ben. So Ben is the tallest.","published"
