# Subject: Art & Culture
ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Level,Chapter
1,The Mona Lisa was painted by Leonardo da Vinci.,False,True,,,A,easy,Chapter 1
2,A piano has 88 keys.,True,False,,,B,easy,Chapter 1
3,The Pyramids of Giza are located in Egypt.,False,True,,,A,easy,Chapter 1
4,Shakespeare wrote only comedies.,False,True,,,B,easy,Chapter 1
5,What is Mexico's folkloric dance?,Jarabe Tapatío,Cumbia,,,B,easy,Chapter 1
6,What artist created 'The Gates of Hell'?,Auguste Rodin,Donatello,,,A,easy,Chapter 1
7,What is the highest-grossing film of all time?,Avatar,Avengers,,,B,easy,Chapter 1
8,What musical features 'Don't Cry for Me Argentina'?,Evita,Cats,,,A,easy,Chapter 1
9,What is the New Orleans jazz festival called?,Jazz Fest,Mardi Gras,,,A,easy,Chapter 1
10,Where is the Palace Museum?,Shanghai,Beijing,,,B,easy,Chapter 1
11,Which artist painted 'The Water Lily Pond'?,Claude Monet,Pierre-Auguste Renoir,Camille Pissarro,,A,hard,Chapter 1
12,Which composer wrote 'Carmen'?,Georges Bizet,Giuseppe Verdi,Giacomo Puccini,,A,hard,Chapter 1
13,Who designed the Marina Bay Sands?,Moshe Safdie,Norman Foster,Zaha Hadid,,A,hard,Chapter 1
14,"Who wrote 'Weep Not, Child'?",Ngũgĩ wa Thiong,",
                    ",",
                    ",,A,hard,Chapter 1
15,How many dancers traditionally perform Bharatanatyam?,Solo,Duo,Group,,A,hard,Chapter 1
16,What is the tallest statue in the world?,Statue of Unity,Spring Temple Buddha,Statue of Liberty,,A,hard,Chapter 1
17,Who directed '2001: A Space Odyssey'?,Stanley Kubrick,Ridley Scott,Steven Spielberg,,A,hard,Chapter 1
18,What is the Spanish flamenco theater form?,Tablao,Zarzuela,Corrida,,A,hard,Chapter 1
19,What Portuguese tiles are decorative?,Azulejos,Mosaicos,Ladrilhos,,A,hard,Chapter 1
20,What is Chinese blue and white porcelain?,Ming porcelain,Jade,Cloisonné,,A,hard,Chapter 1
21,Which movement did Kazimir Malevich found?,Suprematism,Constructivism,Rayonism,Futurism,A,expert,Chapter 1
22,How many string quartets did Beethoven write?,16,14,18,20,A,expert,Chapter 1
23,Who designed Brasília's buildings?,Oscar Niemeyer,Lúcio Costa,Paulo Mendes da Rocha,Vilanova Artigas,A,expert,Chapter 1
24,Who wrote 'Disgrace'?,J.M. Coetzee,Nadine Gordimer,Athol Fugard,Breyten Breytenbach,A,expert,Chapter 1
25,Who created the 'Unique Forms of Continuity in Space'?,Umberto Boccioni,Filippo Marinetti,Giacomo Balla,Carlo Carrà,A,expert,Chapter 1
26,What is the Danish film movement of 1995?,Dogme 95,New Danish,Nordic Noir,Scandinavian Wave,A,expert,Chapter 1
27,Who wrote 'Death of a Salesman'?,Arthur Miller,Tennessee Williams,Edward Albee,Clifford Odets,A,expert,Chapter 1
28,What museum houses Monet's Water Lilies?,Orangerie,Louvre,Orsay,Rodin,A,expert,Chapter 1
29,What is painting with wax-based paint?,Encaustic,,,,A,extreme,Chapter 1
30,What is the term for a pause or hold?,Fermata,,,,A,extreme,Chapter 1
31,What is the triangular space in a pediment?,Tympanum,,,,A,extreme,Chapter 1
32,What is repetition of initial consonant sounds?,Alliteration,,,,A,extreme,Chapter 1
33,What is a series of turns across the stage?,Chaînés or Piqué turns,,,,A,extreme,Chapter 1
34,What is a three-dimensional artwork hanging in space?,Mobile,,,,A,extreme,Chapter 1
35,What is uninterrupted shot from one position?,Static shot or Fixed shot,,,,A,extreme,Chapter 1
36,What is traditional Balinese dance-drama?,Legong or Barong,,,,A,extreme,Chapter 1
37,What is the Indian festival of lights?,Diwali or Deepavali,,,,A,extreme,Chapter 1
38,What is decorative openwork embroidery?,Cutwork,,,,A,extreme,Chapter 1
39,Pablo Picasso was a Spanish painter.,True,False,,,A,easy,Chapter 2
40,Beethoven composed nine symphonies.,False,True,,,B,easy,Chapter 2
41,The Taj Mahal is located in India.,True,False,,,A,easy,Chapter 2
42,George Orwell wrote '1984'.,False,True,,,B,easy,Chapter 2
43,Ballet originated in Italy.,True,False,,,A,easy,Chapter 2
44,The Thinker was created by Rodin.,False,True,,,B,easy,Chapter 2
45,The first feature-length film was silent.,True,False,,,A,easy,Chapter 2
46,Shakespeare's Globe Theatre is in London.,True,False,,,B,easy,Chapter 2
47,The Louvre is the world's largest art museum.,False,True,,,B,easy,Chapter 2
48,Origami is the Japanese art of paper folding.,True,False,,,A,easy,Chapter 2
49,Who painted 'The Scream'?,Edvard Munch,Vincent van Gogh,,,A,medium,Chapter 2
50,What is Mozart's first name?,Wolfgang,Ludwig,,,A,medium,Chapter 2
51,Who designed the Sydney Opera House?,Jørn Utzon,Frank Lloyd Wright,,,A,medium,Chapter 2
52,Who wrote 'Pride and Prejudice'?,Jane Austen,Emily Brontë,,,A,medium,Chapter 2
53,What country is the tango from?,Argentina,Spain,,,A,medium,Chapter 2
54,What material is Michelangelo's David made of?,Marble,Bronze,,,A,medium,Chapter 2
55,Who directed 'Citizen Kane'?,Orson Welles,Alfred Hitchcock,,,A,medium,Chapter 2
56,What is the longest-running Broadway show?,The Phantom of the Opera,Cats,,,A,medium,Chapter 2
57,Where is the Cannes Film Festival held?,France,Italy,,,A,medium,Chapter 2
58,What century was Machu Picchu built?,15th century,14th century,,,A,medium,Chapter 2
59,Which artist painted 'The Birth of Venus'?,Sandro Botticelli,Leonardo da Vinci,Raphael,,A,hard,Chapter 2
60,Which composer wrote 'The Four Seasons'?,Antonio Vivaldi,Johann Sebastian Bach,Georg Handel,,A,hard,Chapter 2
61,Who designed the dome of St. Peter's Basilica?,Michelangelo,Bramante,Bernini,,A,hard,Chapter 2
62,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Jorge Luis Borges,Pablo Neruda,,A,hard,Chapter 2
63,What is the classical Indian dance from Kerala?,Kathakali,Bharatanatyam,Odissi,,A,hard,Chapter 2
64,Who sculpted 'The Kiss'?,Auguste Rodin,Constantin Brâncuși,Antonio Canova,,A,hard,Chapter 2
65,Who won the first Best Director Oscar?,Frank Borzage,Charlie Chaplin,D.W. Griffith,,A,hard,Chapter 2
66,Who wrote 'A Streetcar Named Desire'?,Tennessee Williams,Arthur Miller,Eugene O,,A,hard,Chapter 2
67,Where is the Hermitage Museum located?,St. Petersburg,Moscow,Kiev,,A,hard,Chapter 2
68,What is the art of decorating eggs called?,Pysanky,Decoupage,Batik,,A,hard,Chapter 2
69,Which movement did Georges Seurat pioneer?,Pointillism,Impressionism,Post-Impressionism,Divisionism,A,expert,Chapter 2
70,How many piano concertos did Rachmaninoff compose?,4,5,3,6,A,expert,Chapter 2
71,Who designed the Guggenheim Museum in Bilbao?,Frank Gehry,Zaha Hadid,Norman Foster,Renzo Piano,A,expert,Chapter 2
72,Who wrote 'The Brothers Karamazov'?,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Nikolai Gogol,A,expert,Chapter 2
73,Who choreographed 'The Rite of Spring'?,Vaslav Nijinsky,George Balanchine,Martha Graham,Merce Cunningham,A,expert,Chapter 2
74,Who created the 'Bird in Space' series?,Constantin Brâncuși,Henry Moore,Alberto Giacometti,Barbara Hepworth,A,expert,Chapter 2
75,Who directed 'The Seventh Seal'?,Ingmar Bergman,Federico Fellini,Akira Kurosawa,Andrei Tarkovsky,A,expert,Chapter 2
76,Who wrote 'Waiting for Godot'?,Samuel Beckett,Harold Pinter,Tom Stoppard,Eugène Ionesco,A,expert,Chapter 2
77,What year was Petra designated a UNESCO site?,1985,1982,1988,1990,A,expert,Chapter 2
78,What is the Persian art of knotted pile carpets?,Persian rug weaving,Kilim,Suzani,Ikat,A,expert,Chapter 2
79,What was the original title of Picasso's 'Les Demoiselles d'Avignon'?,Le Bordel d,,,,A,extreme,Chapter 2
80,What is the name of Berg's unfinished opera?,Lulu,,,,A,extreme,Chapter 2
81,What architectural style did Louis Sullivan pioneer?,Chicago School or Early Skyscraper,,,,A,extreme,Chapter 2
82,What is James Joyce's final work?,Finnegans Wake,,,,A,extreme,Chapter 2
83,What is the traditional Indonesian court dance?,Bedhaya,,,,A,extreme,Chapter 2
84,What material did Louise Bourgeois use for 'Maman'?,Bronze and stainless steel,,,,A,extreme,Chapter 2
85,What was the first film to use deep focus cinematography?,Citizen Kane,,,,A,extreme,Chapter 2
