ID,Setup,Punchline,Category,Status
1,"Why did the moon skip dinner?","Because it was already full.","Science & Space Jokes","draft"
2,"How does the moon cut its hair?","Eclipse it.","Science & Space Jokes","draft"
3,"Why did the astronaut break up with his girlfriend?","Because he needed some space.","Science & Space Jokes","draft"
4,"What happened when oxygen went on a date with potassium?","It went OK.","Science & Space Jokes","draft"
5,"What did the atom say after it lost an electron?","I have to stay positive.","Science & Space Jokes","draft"
6,"What did one tectonic plate say to the other?","Sorry, my fault.","Science & Space Jokes","draft"
7,"What did one cell say to its sister cell that stepped on its toe?","Mitosis.","Science & Space Jokes","draft"
8,"Why was the proton so optimistic?","It never lost its positive charge.","Science & Space Jokes","draft"
9,"Why did the electron go to therapy?","It had too much negative energy.","Science & Space Jokes","draft"
10,"Why was the neutron so calm during the argument?","Because it stayed completely neutral.","Science & Space Jokes","draft"
11,"What did the apple say when it fell out of the tree?","This is all Newton fault.","Science & Space Jokes","draft"
12,"What did the cloud wear under its raincoat?","Thunderwear.","Science & Space Jokes","draft"
13,"Why did the cell throw a party?","It wanted to cell-ebrate.","Science & Space Jokes","draft"
14,"Why was the element so relaxed?","It was in its element.","Science & Space Jokes","draft"
15,"Why did the student love the periodic table?","It was full of good chemistry.","Science & Space Jokes","draft"
16,"Why did the chemist love the puzzle?","Because every problem had a solution.","Science & Space Jokes","draft"
17,"Why did the scientist go to the beach?","To test the waters.","Science & Space Jokes","draft"
18,"Why did the new scientific theory fail?","It never gained momentum.","Science & Space Jokes","draft"
19,"Why did the comet get invited to every party?","It always made a great entrance.","Science & Space Jokes","draft"
20,"Why did the rocket bring a map?","It did not want to get lost in space.","Science & Space Jokes","draft"
21,"What did the astronaut say when the spaceship was dirty?","Time to clean up the launch pad.","Science & Space Jokes","draft"
22,"Why did the star win the talent show?","It had a stellar performance.","Science & Space Jokes","draft"
23,"Why was the planet so tidy?","It always kept its rings in order.","Science & Space Jokes","draft"
24,"What did the astronaut say when he finished his meal?","That was out of this world.","Science & Space Jokes","draft"
25,"Why did the astronaut bring a pencil to space?","In case he needed to draw a new orbit.","Science & Space Jokes","draft"
26,"What did the telescope say to the star?","I have been watching you for light years.","Science & Space Jokes","draft"
27,"Why was the astronaut bad at math?","He could only count in light years.","Science & Space Jokes","draft"
28,"What did the satellite say when it finished its job?","My work here is orbit... done.","Science & Space Jokes","draft"
29,"What did the moon say when the sun went down?","Fine, I will take the night shift.","Science & Space Jokes","draft"
30,"What did the sun say to the solar panel?","You are my biggest fan.","Science & Space Jokes","draft"
31,"What did the rain say to the ground?","I am falling for you.","Science & Space Jokes","draft"
32,"What did one snowflake say to the other?","Nothing, they were both too cool.","Science & Space Jokes","draft"
33,"Why was the diamond so confident?","It was under a lot of pressure and came out shining.","Science & Space Jokes","draft"
34,"What is a physicist favorite food?","Fission chips.","Science & Space Jokes","draft"
35,"What do you call an acid with an attitude?","An a-mean-oh acid.","Science & Space Jokes","draft"
36,"What did the biologist wear to the party?","Designer genes.","Science & Space Jokes","draft"
37,"What did the geologist say when his date canceled?","I guess we are taking it for granite.","Science & Space Jokes","draft"
38,"Why did the rock go to the gym?","It wanted to get boulder.","Science & Space Jokes","draft"
39,"What did the volcano say to the mountain?","I lava you.","Science & Space Jokes","draft"
40,"What did the Richter scale say after the big earthquake?","I give it a ten.","Science & Space Jokes","draft"
41,"Why was the fossil never invited to parties?","It was way too old school.","Science & Space Jokes","draft"
42,"Why was the mummy so tense?","It was all wound up.","Science & Space Jokes","draft"
43,"Why was the pharaoh so stubborn?","Because he was deep in de-Nile.","Science & Space Jokes","draft"
44,"Why did the compass get the job?","It always gave good direction.","Science & Space Jokes","draft"
45,"Why did the chemist stay so calm?","Because everything was buffered.","Science & Space Jokes","draft"
46,"Why did the physicist break up with the biologist?","There was no chemistry.","Science & Space Jokes","draft"
47,"What did the sun say to the clouds?","You are really blocking my shine.","Science & Space Jokes","draft"
48,"Which planet has the best fashion sense?","Saturn, it always wears rings.","Science & Space Jokes","draft"
49,"What kind of bank has no money?","A riverbank.","Science & Space Jokes","draft"
50,"What falls in winter but never gets hurt?","Snow.","Science & Space Jokes","draft"
51,"Why did the physicist love the beach?","So many waves to study.","Science & Space Jokes","draft"
52,"Why did the geologist love hiking?","All the great outcrops.","Science & Space Jokes","draft"
53,"Why did the paleontologist love his job?","It was dino-mite.","Science & Space Jokes","draft"
54,"Why did the biologist love the microscope?","It gave him a closer look at life.","Science & Space Jokes","draft"
55,"Why did the cloud get promoted?","It was head and shoulders above the rest.","Science & Space Jokes","draft"
56,"Why was the rainbow so proud?","It came out shining after the storm.","Science & Space Jokes","draft"
57,"Why did the wind turbine get a raise?","It was a big fan of renewable energy.","Science & Space Jokes","draft"
58,"Why did the solar panel feel important?","It was always in the spotlight.","Science & Space Jokes","draft"
59,"Why did the battery feel drained?","It gave everything it had.","Science & Space Jokes","draft"
60,"Why did the magnet take a break from the fridge?","It wanted to attract new opportunities.","Science & Space Jokes","draft"
61,"Why did the light bulb feel smart?","It was full of bright ideas.","Science & Space Jokes","draft"
62,"Why did the mirror feel thoughtful?","It spent all day reflecting.","Science & Space Jokes","draft"
