# Subject: Animals
ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Level,Chapter
1,Elephants are afraid of mice.,False,True,,,A,easy,Mammals
2,Eagles can see prey from miles away.,True,False,,,B,easy,Birds
3,Dolphins are fish.,False,True,,,A,easy,Marine Life
4,Alligators and crocodiles are the same.,False,True,,,B,easy,Reptiles
5,Bees die after stinging once.,True,False,,,B,easy,Insects
6,Lions live in jungles.,False,True,,,A,easy,Mammals
7,Penguins can fly.,False,True,,,B,easy,Birds
8,Sharks have bones.,False,True,,,A,easy,Marine Life
9,All snakes are venomous.,False,True,,,A,easy,Reptiles
10,Bears hibernate in winter.,True,False,,,B,easy,Mammals
11,What is an elephant's trunk used for?,Breathing only,Multiple purposes,,,B,medium,Mammals
12,How far can eagles see?,1 mile,2-3 miles,,,B,medium,Birds
13,Are dolphins intelligent?,Yes,very,No,,A,medium,Marine Life
14,Can alligators live in saltwater?,Mostly freshwater,Yes,,,A,medium,Reptiles
15,What do bees make?,Honey,Wax only,,,A,medium,Insects
16,Who hunts in a lion pride?,Males,Females,,,B,medium,Mammals
17,Where do penguins live?,North Pole,Antarctica,,,B,medium,Birds
18,What is a shark's best sense?,Sight,Smell,,,B,medium,Marine Life
19,How do frogs drink water?,Through mouth,Through skin,,,B,medium,Amphibians
20,What do bears love to eat?,Meat only,Omnivorous diet,,,B,medium,Mammals
21,How many teeth do elephants have for chewing?,8,4,16,,B,hard,Mammals
22,How much weight can an eagle carry?,Equal to body weight,Half body weight,Twice body weight,,B,hard,Birds
23,How do dolphins communicate?,Body language,Clicks and whistles,Silent,,B,hard,Marine Life
24,How many teeth can a crocodile have?,40,60-80,100,,B,hard,Reptiles
25,How do bees communicate flower locations?,Dancing,Buzzing,Pheromones only,,A,hard,Insects
26,How long can a lion's roar be heard?,1 mile,5 miles,10 miles,,B,hard,Mammals
27,How fast can penguins swim?,5 mph,15 mph,25 mph,,B,hard,Birds
28,How are baby sharks born?,Eggs only,Live birth or eggs,Live birth only,,B,hard,Marine Life
29,How high can frogs jump?,5x body length,20x body length,50x body length,,C,hard,Amphibians
30,How long do bears hibernate?,2 months,5-7 months,1 year,,B,hard,Mammals
31,How much water can an elephant drink daily?,20 gallons,50 gallons,100 gallons,200 gallons,B,expert,Mammals
32,How many times better is eagle vision than humans?,2-3 times,4-8 times,10 times,20 times,B,expert,Birds
33,How do dolphins hear?,External ears,Through jaw bone,Blowholes,Skin,B,expert,Marine Life
34,What determines crocodile egg gender?,Genetics,Temperature,Location,Random,B,expert,Reptiles
35,How many flowers do bees visit daily?,100,500-1,000,5,B,expert,Insects
36,What is a lion's bite force?,400 PSI,650 PSI,1,000 PSI,B,expert,Mammals
37,How long do emperor penguins incubate eggs?,30 days,64 days,90 days,120 days,B,expert,Birds
38,How often do sharks replace teeth?,Monthly,Every 8 days,Yearly,Every 6 months,B,expert,Marine Life
39,How fast is a frog's tongue strike?,0.07 seconds,0.5 seconds,1 second,2 seconds,A,expert,Amphibians
40,How fast can a grizzly bear run?,20 mph,35 mph,45 mph,55 mph,B,expert,Mammals
41,How many bones are in an elephant's trunk?,,,,,,extreme,Mammals
42,What is an eagle's visual acuity compared to humans?,,,,,,extreme,Birds
43,What frequency range can dolphins hear?,,,,,,extreme,Marine Life
44,What is a saltwater crocodile's bite force?,,,,,,extreme,Reptiles
45,How fast do bee wings beat per second?,,,,,,extreme,Insects
46,How many lions are left in the wild?,,,,,,extreme,Mammals
47,How deep can emperor penguins dive?,,,,,,extreme,Birds
48,How deep can great white sharks dive?,,,,,,extreme,Marine Life
49,How many eggs can a frog lay at once?,,,,,,extreme,Amphibians
50,How much can a grizzly bear lift?,,,,,,extreme,Mammals
51,Giraffes have the same number of neck bones as humans.,True,False,,,A,easy,Mammals
52,Owls can turn their heads 360 degrees.,False,True,,,B,easy,Birds
53,Octopuses have three hearts.,True,False,,,A,easy,Marine Life
54,Lizards can regrow their tails.,True,False,,,B,easy,Reptiles
55,Butterflies can taste with their feet.,True,False,,,B,easy,Insects
56,Cheetahs can run faster than cars.,True,False,,,A,easy,Mammals
57,Parrots can mimic human speech.,True,False,,,B,easy,Birds
58,Sea turtles return to their birthplace to lay eggs.,True,False,,,A,easy,Marine Life
59,Snakes can hear sounds.,False,True,,,A,easy,Reptiles
60,Bats are blind.,False,True,,,B,easy,Mammals
61,How much sleep do giraffes need daily?,8 hours,2 hours,,,B,medium,Mammals
62,How do owls locate prey in darkness?,Sight only,Hearing,,,B,medium,Birds
63,Where are most octopus neurons located?,Brain,Arms,,,B,medium,Marine Life
64,Why do lizards drop their tails?,Growth,Defense mechanism,,,B,medium,Reptiles
65,What do butterflies eat?,Leaves,Nectar,,,B,medium,Insects
66,How long can cheetahs maintain top speed?,5 minutes,30 seconds,,,B,medium,Mammals
67,How intelligent are parrots?,Basic,Very intelligent,,,B,medium,Birds
68,How do sea turtles navigate?,Random,Magnetic fields,,,B,medium,Marine Life
69,When are frogs most active?,Day,Night,,,B,medium,Amphibians
70,How do bats navigate?,Sight,Echolocation,,,B,medium,Mammals
71,How much does a giraffe's heart weigh?,5 lbs,25 lbs,50 lbs,,B,hard,Mammals
72,How many degrees can owls rotate their heads?,180,270,360,,B,hard,Birds
