# Category: Lateral Thinking
# Subject: Lateral Puzzles
question,optiona,optionb,optionc,optiond,answer,level,subject,hint,explanation,status
What gets bigger the more you take away from it?,A hole,A balloon,A shadow,A cake,A hole,easy,Lateral Puzzles,Think about digging.,Digging creates a bigger hole.,published
What has hands but cannot clap?,A clock,A statue,A robot,A tree,A clock,easy,Lateral Puzzles,Look at the wall.,Clocks have hour and minute hands.,published
What goes up but never comes down?,Your age,A balloon,Smoke,A rocket,Your age,easy,Lateral Puzzles,Birthdays count it.,Age only increases.,published
I follow you all day but disappear in the dark. What am I?,Your shadow,Your dog,Your echo,Your reflection,Your shadow,easy,Lateral Puzzles,Sunny days only.,Shadows need light.,published
What has a head and a tail but no body?,A coin,A snake,A bottle,A comet,A coin,easy,Lateral Puzzles,Check your pocket.,Coins have heads and tails sides.,published
The more you share me the less I am. What am I?,A secret,Money,Pizza,Water,A secret,medium,Lateral Puzzles,Whisper it around.,Splitting a secret reduces it.,published
What can you catch but not throw?,A cold,A ball,A fish,A train,A cold,medium,Lateral Puzzles,Achoo!,You catch a cold.,published
What has many teeth but cannot bite?,A comb,A zipper,A saw,A shark,A comb,medium,Lateral Puzzles,Check the bathroom.,Combs have teeth.,published
What begins with T ends with T and has T in it?,A teapot,A tent,A toast,A tweet,A teapot,medium,Lateral Puzzles,Pour it out.,Teapot starts and ends with T and holds tea.,published
I am light as a feather yet the strongest person cannot hold me long. What am I?,Breath,A feather,A cloud,A thought,Breath,medium,Lateral Puzzles,Everyone needs it constantly.,Holding your breath is hard.,published
What word becomes shorter when you add two letters to it?,Short,Small,Long,Narrow,Short,medium,Lateral Puzzles,Read the question literally.,Short + er = shorter.,published
What has an eye but cannot see?,A needle,A storm,A person,A camera,A needle,medium,Lateral Puzzles,Thread it.,Needles have an eye for thread.,published
Take off my skin I will not cry but you will. What am I?,An onion,A potato,A grape,A banana,An onion,hard,Lateral Puzzles,It layers.,Onions make you cry.,published
What invention lets you look right through a wall?,A window,A telescope,A door,A mirror,A window,hard,Lateral Puzzles,It is in every room.,Windows are holes with glass.,published
What can fill a room but takes no space?,Light,Smoke,Furniture,Air,Light,hard,Lateral Puzzles,Flip a switch.,Light fills darkness.,published
What five-letter word becomes shorter when you add two letters?,Short,Small,Char,Narrow,Short,hard,Lateral Puzzles,Same trick twice.,Short plus er.,published
I am always hungry and must always be fed. The finger I touch will soon turn red. What am I?,Fire,A dog,A baby,A stove,Fire,hard,Lateral Puzzles,It burns.,Fire consumes fuel and burns skin.,published
What is so fragile that saying its name breaks it?,Silence,Glass,Love,An egg,Silence,hard,Lateral Puzzles,Shh.,Speaking breaks silence.,published
Where does today come before yesterday?,In a dictionary,In a calendar,In a clock,In a book,In a dictionary,hard,Lateral Puzzles,Alphabetical order.,Dictionary lists words alphabetically.,published
What two things can you never eat for breakfast?,Lunch and dinner,Bread and jam,Eggs and bacon,Fruit and milk,Lunch and dinner,expert,Lateral Puzzles,Think about meal times.,They are later meals.,published
