ID,Setup,Punchline,Category,Status
1,"Why did the tomato blush?","Because it saw the salad dressing.","Food Jokes","draft"
2,"What do you call cheese that is not yours?","Nacho cheese.","Food Jokes","draft"
3,"Why did the banana go to the doctor?","Because it was not peeling well.","Food Jokes","draft"
4,"What did the grape do when someone stepped on it?","It let out a little wine.","Food Jokes","draft"
5,"Why did the cookie cry?","Because its mom was a wafer too long.","Food Jokes","draft"
6,"What do you call a sad strawberry?","A blueberry.","Food Jokes","draft"
7,"Why did the mushroom get invited to every party?","Because he was a fun guy.","Food Jokes","draft"
8,"How do you fix a broken pizza?","With tomato paste.","Food Jokes","draft"
9,"Why did the baker need more money?","Because he kneaded the dough.","Food Jokes","draft"
10,"Why did the baker stop making donuts?","He got tired of the hole business.","Food Jokes","draft"
11,"Why did the donut go to the dentist?","It needed a filling.","Food Jokes","draft"
12,"What does bread do on vacation?","It loafs around.","Food Jokes","draft"
13,"What did the gingerbread man put on his bed?","Cookie sheets.","Food Jokes","draft"
14,"Why did the can crusher quit his job?","Because it was soda pressing.","Food Jokes","draft"
15,"Why did the orange stop rolling down the hill?","It ran out of juice.","Food Jokes","draft"
16,"What do you call two banana peels?","A pair of slippers.","Food Jokes","draft"
17,"Why did the banana go out with the prune?","Because it could not find a date.","Food Jokes","draft"
18,"What did the corn say when it got a compliment?","Aw, shucks.","Food Jokes","draft"
19,"What did the baby corn say to the mama corn?","Where is pop corn?","Food Jokes","draft"
20,"What did the lettuce say to the celery?","Romaine calm.","Food Jokes","draft"
21,"Why did the cucumber go to therapy?","Because it was in a pickle.","Food Jokes","draft"
22,"Why did the egg hide?","Because it was a little chicken.","Food Jokes","draft"
23,"Why did the chef leave the kitchen?","He could not stand the heat.","Food Jokes","draft"
24,"What did the sushi say to the bee?","Wasabi.","Food Jokes","draft"
25,"Why did the butter win the race?","Because it was on a roll.","Food Jokes","draft"
26,"What did the lemon say when it answered the phone?","Yellow.","Food Jokes","draft"
27,"Why do watermelons have fancy weddings?","Because they cantaloupe.","Food Jokes","draft"
28,"What did the cheese say when it looked in the mirror?","Halloumi.","Food Jokes","draft"
29,"Why did the ice cream truck break down?","Because it had a meltdown.","Food Jokes","draft"
30,"What did the egg say when the chef told a joke?","You crack me up.","Food Jokes","draft"
31,"Why did the egg get promoted?","Because it was egg-cellent at the job.","Food Jokes","draft"
32,"Why did the chef take a day off?","He needed some thyme for himself.","Food Jokes","draft"
33,"Why did the mint propose to the other mint?","They were mint to be.","Food Jokes","draft"
34,"Why was the potato so lazy?","Because it was a couch potato.","Food Jokes","draft"
35,"What did the DJ say to the turnip?","Turnip the beet.","Food Jokes","draft"
36,"Why did the celery ask for a raise?","It wanted a higher celery.","Food Jokes","draft"
37,"What did the pea say to the arguing friends?","Give peas a chance.","Food Jokes","draft"
38,"What did one strawberry say to the other?","If you were not so sweet, we would not be in this jam.","Food Jokes","draft"
39,"Why were the apple and the pear alone?","Because the banana split.","Food Jokes","draft"
40,"What fruit do twins love most?","Pears.","Food Jokes","draft"
41,"What did one plate say to the other plate?","Dinner is on me.","Food Jokes","draft"
42,"Why did the pancake go to the doctor?","It was feeling flat.","Food Jokes","draft"
43,"What did the bacon say to the tomato?","Lettuce get together.","Food Jokes","draft"
44,"Why did the croissant go to the doctor?","It was feeling a little flaky.","Food Jokes","draft"
45,"Why did the pretzel go to therapy?","It was all twisted up inside.","Food Jokes","draft"
46,"What did the cracker say to the cheese?","You are looking sharp.","Food Jokes","draft"
47,"Why did the tortilla chip start dancing?","Because they put on the salsa.","Food Jokes","draft"
48,"Why did the popcorn go to the theater?","It heard the show was going to be popping.","Food Jokes","draft"
49,"What did the ice cream say on Monday morning?","I wish it were a sundae.","Food Jokes","draft"
50,"What did the wonton soup say when it won the game?","I wonton!","Food Jokes","draft"
51,"Why did the student eat his homework?","Because the teacher said it was a piece of cake.","Food Jokes","draft"
52,"What do you call a sleeping pizza?","A piZZZa.","Food Jokes","draft"
53,"Why did the lime feel wonderful?","Because life was simply sublime.","Food Jokes","draft"
54,"What did the kiwi say to its new neighbor?","Kiwi be friends?","Food Jokes","draft"
55,"What did the valentine say to the cherry?","I will always cherry-ish you.","Food Jokes","draft"
56,"Why was the pineapple so confident?","Because it was a fine-apple.","Food Jokes","draft"
57,"Why was the peach in a great mood?","Because everything was just peachy.","Food Jokes","draft"
58,"Why did the apple go to the gym?","To work on its core.","Food Jokes","draft"
59,"Why did the lemon work so hard?","It wanted to show its zest.","Food Jokes","draft"
60,"What did the happy grape say?","I am feeling grape.","Food Jokes","draft"
61,"Why did the cabbage win the race?","Because it was a-head of the others.","Food Jokes","draft"
62,"What did the mayonnaise say when the fridge door opened?","Close the door, I am dressing.","Food Jokes","draft"
63,"Why did the hamburger go to the gym?","To get better buns.","Food Jokes","draft"
64,"What did the hot dog say after winning the race?","I am the wiener.","Food Jokes","draft"
65,"What did the coconut say at the party?","I am coco-nuts about dancing.","Food Jokes","draft"
66,"Why did the mango get an award?","It was mango-nificent.","Food Jokes","draft"
67,"What did the pomegranate say to the apple?","I have got a lot more seeds than you.","Food Jokes","draft"
68,"Why was the nectarine so calm?","Because it did not want to make a fuss, it was a smooth operator.","Food Jokes","draft"
69,"What did the waffle say to the pancake?","We are batter together.","Food Jokes","draft"
70,"What did the pickle say to the troublemaker?","Dill with it.","Food Jokes","draft"
71,"What did the blackberry say to the blueberry?","We make a berry good team.","Food Jokes","draft"
72,"Why did the cranberry join the band?","It wanted to be in a jam session.","Food Jokes","draft"
73,"What did the radish say to the carrot?","We are root-ing for you.","Food Jokes","draft"
74,"Why did the asparagus win the award?","It was a spears-it... spirited performer.","Food Jokes","draft"
75,"What did the artichoke say on valentine day?","You have my heart.","Food Jokes","draft"
76,"Why did the brussels sprout get invited back?","It was a small but mighty guest.","Food Jokes","draft"
77,"What did the raisin try to do at the party?","Raise the roof.","Food Jokes","draft"
78,"Why did the kale get so much attention?","It was the current head of the leafy greens.","Food Jokes","draft"
79,"What did the zucchini say to the squash?","We are basically the same vegetable.","Food Jokes","draft"
80,"What did the pumpkin say to the pie crust?","You complete me.","Food Jokes","draft"
81,"Why did the jalapeno put on a sweater?","It wanted to be a little chili.","Food Jokes","draft"
82,"What did the cayenne say to the soup?","I am here to spice up your life.","Food Jokes","draft"
83,"What did the cinnamon say to the roll?","We are roll-ing together forever.","Food Jokes","draft"
84,"Why did the nutmeg stay calm?","It did not want to spice things up.","Food Jokes","draft"
85,"What did the paprika say to the chef?","Add me and I will make everything redder.","Food Jokes","draft"
86,"Why did the onion stop crying?","It finally found its inner layers of peace.","Food Jokes","draft"
87,"What did the garlic say to the pasta?","I am here to add a little flavor to your life.","Food Jokes","draft"
88,"Why did the ginger root get promoted?","It had a lot of snap... ginger snap.","Food Jokes","draft"
89,"What did the leek say to the plumber?","I hear you have a leek problem.","Food Jokes","draft"
90,"Why did the chive win the herb contest?","It was a-cut above the rest... chives get cut.","Food Jokes","draft"
91,"What did the parmesan say to the spaghetti?","I am grate-ful for you.","Food Jokes","draft"
92,"Why did the mozzarella stay calm under pressure?","It knew how to keep things melty and smooth.","Food Jokes","draft"
93,"What did the feta cheese say to the salad?","Crumble me on top, I am feta-ly ready.","Food Jokes","draft"
94,"Why did the brie feel so fancy?","Because it was always served on special occasions.","Food Jokes","draft"
95,"What did the gouda cheese say when it left?","Gouda-bye.","Food Jokes","draft"
96,"Why did the cheddar go to the art show?","It wanted to see the sharp exhibits.","Food Jokes","draft"
97,"What did the yogurt say to the fruit?","You make me feel cultured.","Food Jokes","draft"
98,"Why did the sour cream get hired?","It had a lot of culture.","Food Jokes","draft"
99,"What did the cream cheese say to the bagel?","We are better together.","Food Jokes","draft"
100,"Why did the cheddar and mozzarella start a band?","They wanted to make sweet grate-ful music.","Food Jokes","draft"
