# Subject: Science

ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Level,Chapter
1,Water is made of hydrogen and oxygen.,True,False,,,A,easy,Physics & Chemistry
2,The Sun rises in the west.,True,False,,,B,easy,Space & Astronomy
3,Thomas Edison invented the telephone.,True,False,,,B,easy,Scientists & Discoveries
4,Ice is the solid form of water.,False,True,,,B,easy,Physics & Chemistry
5,Earth is the third planet from the Sun.,True,False,,,A,easy,Space & Astronomy
6,Albert Einstein developed the theory of relativity.,True,False,,,A,easy,Scientists & Discoveries
7,Sound travels faster through air than through water.,False,True,,,A,easy,Physics & Chemistry
8,The Moon makes its own light.,True,False,,,B,easy,Space & Astronomy
9,Galileo built the first telescope in ancient Egypt.,True,False,,,B,easy,Scientists & Discoveries
10,Helium is lighter than air.,True,False,,,A,easy,Physics & Chemistry
11,Jupiter is the largest planet in the solar system.,False,True,,,B,easy,Space & Astronomy
12,Charles Darwin sailed on a ship called the Beagle.,True,False,,,A,easy,Scientists & Discoveries
13,Acids taste sweet.,True,False,,,B,easy,Physics & Chemistry
14,Saturn is famous for its bright rings.,True,False,,,A,easy,Space & Astronomy
15,Benjamin Franklin invented the steam engine.,True,False,,,B,easy,Scientists & Discoveries
16,Fire needs oxygen to burn.,True,False,,,A,easy,Physics & Chemistry
17,A light-year measures time.,False,True,,,A,easy,Space & Astronomy
18,Isaac Newton discovered X-rays.,False,True,,,A,easy,Scientists & Discoveries
19,Atoms are the basic building blocks of matter.,False,True,,,B,easy,Physics & Chemistry
20,The Sun is a planet.,False,True,,,A,easy,Space & Astronomy
21,Gregor Mendel experimented with pea plants.,False,True,,,B,easy,Scientists & Discoveries
22,Water boils at 50 degrees Celsius at sea level.,True,False,,,B,easy,Physics & Chemistry
23,The Moon is larger than the Earth.,True,False,,,B,easy,Space & Astronomy
24,Guglielmo Marconi invented the printing press.,False,True,,,A,easy,Scientists & Discoveries
25,Diamonds are made of carbon.,True,False,,,A,easy,Physics & Chemistry
26,The Milky Way is a galaxy.,True,False,,,A,easy,Space & Astronomy
27,Marie Curie won two Nobel Prizes.,True,False,,,A,easy,Scientists & Discoveries
28,Oil and water mix easily.,False,True,,,A,easy,Physics & Chemistry
29,Earth orbits the Sun.,True,False,,,A,easy,Space & Astronomy
30,Nikola Tesla discovered gravity.,True,False,,,B,easy,Scientists & Discoveries
31,Hydrogen is the lightest chemical element.,False,True,,,B,easy,Physics & Chemistry
32,Humans have built cities on Mars.,True,False,,,B,easy,Space & Astronomy
33,Copernicus placed the Earth at the center of the universe.,True,False,,,B,easy,Scientists & Discoveries
34,Salt can be obtained by evaporating sea water.,False,True,,,B,easy,Physics & Chemistry
35,Comets can grow tails as they approach the Sun.,False,True,,,B,easy,Space & Astronomy
36,Charles Darwin proposed evolution by natural selection.,True,False,,,A,easy,Scientists & Discoveries
37,Neon is a liquid metal at room temperature.,False,True,,,A,easy,Physics & Chemistry
38,The Moon has moons of its own.,False,True,,,A,easy,Space & Astronomy
39,Alexander Graham Bell invented the airplane.,False,True,,,A,easy,Scientists & Discoveries
40,Baking soda is a base.,False,True,,,B,easy,Physics & Chemistry
41,Venus is the hottest planet in the solar system.,False,True,,,B,easy,Space & Astronomy
42,Watson and Crick described the structure of DNA.,False,True,,,B,easy,Scientists & Discoveries
43,Glass is a pure form of metal.,True,False,,,B,easy,Physics & Chemistry
44,Mercury is the closest planet to the Sun.,True,False,,,A,easy,Space & Astronomy
45,Stephen Hawking invented the telescope.,True,False,,,B,easy,Scientists & Discoveries
46,Vinegar is a weak acid.,True,False,,,A,easy,Physics & Chemistry
47,Neptune is the smallest planet in the solar system.,True,False,,,B,easy,Space & Astronomy
48,Marie Curie discovered the planet Saturn.,False,True,,,A,easy,Scientists & Discoveries
49,Air is a mixture of gases.,False,True,,,B,easy,Physics & Chemistry
50,Asteroids are rocky objects orbiting the Sun.,False,True,,,B,easy,Space & Astronomy
51,Jane Goodall studied wild chimpanzees.,True,False,,,A,easy,Scientists & Discoveries
52,Bleach is safe to drink.,False,True,,,A,easy,Physics & Chemistry
53,Stars are clearly visible during the day.,False,True,,,A,easy,Space & Astronomy
54,Albert Einstein failed mathematics in school.,True,False,,,B,easy,Scientists & Discoveries
55,Lemon juice is acidic.,True,False,,,A,easy,Physics & Chemistry
56,The Sun gives Earth light and heat.,False,True,,,B,easy,Space & Astronomy
57,Isaac Newton described three laws of motion.,False,True,,,B,easy,Scientists & Discoveries
58,Frozen water is called steam.,True,False,,,B,easy,Physics & Chemistry
59,Earth is the largest planet in the solar system.,False,True,,,A,easy,Space & Astronomy
60,Alexander Fleming discovered the planet Neptune.,False,True,,,A,easy,Scientists & Discoveries
61,Carbon dioxide gives fizzy drinks their bubbles.,True,False,,,A,easy,Physics & Chemistry
62,Mercury is covered by thick bright rings.,True,False,,,B,easy,Space & Astronomy
63,Archimedes discovered America.,True,False,,,B,easy,Scientists & Discoveries
64,The periodic table lists the chemical elements.,True,False,,,A,easy,Physics & Chemistry
65,The Moon orbits the Earth.,True,False,,,A,easy,Space & Astronomy
66,Neil Armstrong was the first person to walk on the Moon.,True,False,,,A,easy,Scientists & Discoveries
67,Oxygen is the most abundant gas in the atmosphere.,True,False,,,B,easy,Physics & Chemistry
68,The Moon is a star.,False,True,,,A,easy,Space & Astronomy
69,Galileo discovered the planet Pluto.,False,True,,,A,easy,Scientists & Discoveries
70,Water expands when it freezes.,True,False,,,A,easy,Physics & Chemistry
71,Shooting stars are small bits of rock burning in the air.,False,True,,,B,easy,Space & Astronomy
72,Dmitri Mendeleev created the periodic table.,False,True,,,B,easy,Scientists & Discoveries
73,Ice melts fastest inside a freezer.,True,False,,,B,easy,Physics & Chemistry
74,Jupiter has many known moons.,False,True,,,B,easy,Space & Astronomy
75,Benjamin Franklin was a famous painter.,False,True,,,A,easy,Scientists & Discoveries
76,The chemical formula of water is H2O.,True,False,,,A,easy,Physics & Chemistry
77,The Sun orbits the Earth.,False,True,,,A,easy,Space & Astronomy
78,Thomas Edison invented the computer mouse.,True,False,,,B,easy,Scientists & Discoveries
79,Gold does not rust.,False,True,,,B,easy,Physics & Chemistry
80,Saturn is the second largest planet in the solar system.,True,False,,,A,easy,Space & Astronomy
81,Archimedes famously shouted Eureka.,False,True,,,B,easy,Scientists & Discoveries
82,Salt water freezes faster than fresh water.,False,True,,,A,easy,Physics & Chemistry
83,Empty space is full of air.,True,False,,,B,easy,Space & Astronomy
84,Gregor Mendel studied fruit flies.,True,False,,,B,easy,Scientists & Discoveries
85,Copper conducts electricity well.,False,True,,,B,easy,Physics & Chemistry
86,Stars appear to twinkle when seen from Earth.,False,True,,,B,easy,Space & Astronomy
87,Alfred Wegener proposed that continents drift.,True,False,,,A,easy,Scientists & Discoveries
88,Water and oil have the same density.,True,False,,,B,easy,Physics & Chemistry
89,Earth has one natural satellite.,True,False,,,A,easy,Space & Astronomy
90,Nikola Tesla was born in the year 1950.,False,True,,,A,easy,Scientists & Discoveries
91,A magnet attracts iron objects.,False,True,,,B,easy,Physics & Chemistry
92,The constellation Orion is a planet.,False,True,,,A,easy,Space & Astronomy
93,Charles Darwin studied black holes.,False,True,,,A,easy,Scientists & Discoveries
94,Sulfur is yellow.,True,False,,,A,easy,Physics & Chemistry
95,Light travels faster than sound.,False,True,,,B,easy,Space & Astronomy
96,Thomas Edison held over one thousand patents.,False,True,,,B,easy,Scientists & Discoveries
97,A block of iron floats in water.,False,True,,,A,easy,Physics & Chemistry
98,The Moon is about as large as the Sun.,False,True,,,A,easy,Space & Astronomy
99,Copernicus discovered gravity.,False,True,,,A,easy,Scientists & Discoveries
100,Vinegar and baking soda fizz when mixed.,False,True,,,B,easy,Physics & Chemistry
101,Which planet is larger: Jupiter or Venus?,Saturn,Jupiter,,,B,medium,Space & Astronomy
102,Who described the laws of motion: Isaac Newton or Albert Einstein?,Albert Einstein,Isaac Newton,,,B,medium,Scientists & Discoveries
103,Which freezes at a lower temperature: fresh water or salt water?,fresh water,salt water,,,B,medium,Physics & Chemistry
104,Which planet is closer to the Sun: Mars or Mercury?,Mercury,Mars,,,A,medium,Space & Astronomy
105,Who developed pasteurization: Louis Pasteur or Edward Jenner?,Louis Pasteur,Edward Jenner,,,A,medium,Scientists & Discoveries
106,Which is lighter: helium or carbon dioxide?,helium,carbon dioxide,,,A,medium,Physics & Chemistry
107,Which planet is famous for its rings: Mars or Saturn?,Ceres,Saturn,,,B,medium,Space & Astronomy
108,Who discovered penicillin: Alexander Fleming or Joseph Lister?,Alexander Fleming,Joseph Lister,,,A,medium,Scientists & Discoveries
109,Which metal is liquid at room temperature: iron or mercury?,mercury,iron,,,A,medium,Physics & Chemistry
110,What gives Mars its red color?,blue ice,iron oxide,,,B,medium,Space & Astronomy
111,Who proposed evolution by natural selection: Gregor Mendel or Charles Darwin?,Gregor Mendel,Charles Darwin,,,B,medium,Scientists & Discoveries
112,Which gas do plants absorb for photosynthesis?,ammonia,carbon dioxide,,,B,medium,Physics & Chemistry
113,Which star is closest to Earth: Sirius or the Sun?,the Sun,Sirius,,,A,medium,Space & Astronomy
114,Who improved the steam engine: James Watt or Rudolf Diesel?,James Watt,Rudolf Diesel,,,A,medium,Scientists & Discoveries
115,Which element has the symbol O: osmium or oxygen?,osmium,oxygen,,,A,medium,Physics & Chemistry
116,Which is bigger: the Sun or the Moon?,the Moon,the Sun,,,B,medium,Space & Astronomy
117,Who created the periodic table: Antoine Lavoisier or Dmitri Mendeleev?,Antoine Lavoisier,Dmitri Mendeleev,,,B,medium,Scientists & Discoveries
118,Which is the hardest natural mineral: talc or diamond?,talc,diamond,,,A,medium,Physics & Chemistry
