#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
# Category: Classic Riddles
1,"What is always coming but never arrives?","Tomorrow","A train","The mail","Night","A. Tomorrow",easy,Brain Teasers,"","",published
2,"Feed me and I live, give me drink and I die. What am I?","Fire","A plant","A fish","A cloud","A. Fire",hard,Brain Teasers,"","",published
3,"What runs all around a backyard yet never moves?","A fence","A dog","A hose","Grass","A. A fence",hard,Brain Teasers,"","",published
4,"The more you take, the more you leave behind. What am I?","","","","","",expert,Brain Teasers,"","",published
5,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","An echo","A ghost","A flag","A bell","A. An echo",easy,Brain Teasers,"","",published
6,"The more of this there is, the less you see. What is it?","Light","Darkness","Fog","Glass","B. Darkness",easy,Brain Teasers,"","",published
7,"What has to be broken before you can use it?","An egg","A promise","A code","A mirror","A. An egg",easy,Brain Teasers,"","",published
8,"I have keys but no locks. I have space but no room. You can enter, but you cannot go outside. What am I?","A keyboard","A house","A car","A map","A. A keyboard",easy,Brain Teasers,"","",published
9,"What gets wetter the more it dries?","A towel","A sponge","A cloud","Ice","A. A towel",easy,Brain Teasers,"","",published
10,"I am always in front of you but can never be seen. What am I?","The future","The wind","Air","Glass","A. The future",easy,Brain Teasers,"","",published
11,"What has a neck but no head?","A bottle","A shirt","A chair","A road","A. A bottle",easy,Brain Teasers,"","",published
12,"What can travel around the world while staying in a corner?","A stamp","A shadow","A coin","A globe","A. A stamp",medium,Brain Teasers,"","",published
13,"I have branches, but no fruit, trunk or leaves. What am I?","A bank","A bird","A book","A river","A. A bank",medium,Brain Teasers,"","",published
14,"What is full of holes but still holds water?","A sponge","A net","A cloud","A cup","A. A sponge",medium,Brain Teasers,"","",published
15,"What word is spelled incorrectly in every dictionary?","Incorrectly","Dictionary","Spelling","Words","A. Incorrectly",medium,Brain Teasers,"","",published
16,"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by almost everyone. What am I?","Pencil lead","Coal","Gold","Diamond","A. Pencil lead",medium,Brain Teasers,"","",published
17,"The person who makes it sells it. The person who buys it never uses it. What is it?","A coffin","A shoe","A key","A book","A. A coffin",hard,Brain Teasers,"","",published
18,"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A map","A dream","A photo","A painting","A. A map",hard,Brain Teasers,"","",published
19,"What can fill a room but takes up no space?","Light","Smoke","Air","Sound","A. Light",hard,Brain Teasers,"","",published
20,"If you drop me I am sure to crack, but give me a smile and I will smile back. What am I?","A mirror","An egg","Glass","Water","A. A mirror",hard,Brain Teasers,"","",published
# Category: Logic
21,"Riddle easy 2","a","b","c","","A. a",easy,Classic Riddles,"","",published
22,"Riddle medium draft","a","b","c","d","A. a",medium,Classic Riddles,"","",draft
23,"Riddle easy 1","a","b","","","A. a",easy,Classic Riddles,"","",published
