# Category: Everyday Objects

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"1","I am not saying my name yet: I babble over pebbles downhill, and I am a small young river. What am I?","a river","a stream","a lake","a pond","B. a stream","easy","Nature & Weather","Gurgling downhill chat.","Streams bubble downhill, growing into rivers.","published"
"2","Riddle me this: i babble over pebbles downhill — and i am a small young river. What am I?","a stream","a lake","a pond","a river","A. a stream","medium","Nature & Weather","Gurgling downhill chat.","Streams bubble downhill, growing into rivers.","published"
"3","Two clues and one name: I babble over pebbles downhill. Also: I am a small young river. Can you name me?","a lake","a stream","a river","a pond","B. a stream","medium","Nature & Weather","Gurgling downhill chat.","Streams bubble downhill, growing into rivers.","published"
"4","Guess who: i babble over pebbles downhill, and i am a small young river. Who or what am I?","a pond","a stream","a lake","a river","B. a stream","medium","Nature & Weather","Gurgling downhill chat.","Streams bubble downhill, growing into rivers.","published"
"5","I am not saying my name yet: I flatten dough evenly, and I roll back and forth under your palms. What am I?","a knife","a rolling pin","a spoon","a whisk","B. a rolling pin","medium","Food & Kitchen","The baker's smooth wooden roller.","Rolling pins flatten cookie and pie dough.","published"
"6","Riddle me this: i flatten dough evenly — and i roll back and forth under your palms. What am I?","a rolling pin","a whisk","a knife","a spoon","A. a rolling pin","medium","Food & Kitchen","The baker's smooth wooden roller.","Rolling pins flatten cookie and pie dough.","published"
"7","Two clues and one name: I flatten dough evenly. Also: I roll back and forth under your palms. Can you name me?","a knife","a rolling pin","a whisk","a spoon","B. a rolling pin","medium","Food & Kitchen","The baker's smooth wooden roller.","Rolling pins flatten cookie and pie dough.","published"
"8","Guess who: i flatten dough evenly, and i roll back and forth under your palms. Who or what am I?","a rolling pin","a knife","a whisk","a spoon","A. a rolling pin","medium","Food & Kitchen","The baker's smooth wooden roller.","Rolling pins flatten cookie and pie dough.","published"
"9","I am not saying my name yet: I fold flat against the wall, and Hot irons slide across my cover. What am I?","an ironing board","a table","a rack","a shelf","A. an ironing board","medium","Household Items","Wrinkles fear my heat.","Ironing boards hold clothes flat while irons press them.","published"
"10","Riddle me this: i fold flat against the wall — and hot irons slide across my cover. What am I?","an ironing board","a shelf","a rack","a table","A. an ironing board","easy","Household Items","Wrinkles fear my heat.","Ironing boards hold clothes flat while irons press them.","published"
